"Name / Clip Identifier","Type","Flag","Camera","TC Start","Duration","Scene","Shot","Take","CDL Nodes (SOP)","Focal Length","Aperture","ND","Filter","EI/ISO","Shutter Angle","White Balance","Tint","FPS","Sensor FPS","Lens Model","Look Modified Date","Create Date","Look Name","Grading Mode","LUT Nodes","SAT Nodes","TC End","Output Colorspace","Linked Slots","QC Remark","Location","Int/Ext","Day/Night","Comment","Shooting Day","Absolute Path"
No Clip Identifier,"Movie",,"A","10:11:38.18","18","4A","3","1","(0.9202 0.9202 0.9202) (0.0118 -0.0018 -0.0167) (0.9151 0.9151 0.9151);(1.0000 1.0000 1.0000) (0.0000 0.0000 0.0000) (1.0000 1.0000 1.0000)","40 mm","2.8",,"ND 1.2; Diopter 1/2","800","172.8°","5600 K",,"24",,,"2022-06-09T00:12:50Z","2022-06-09T00:12:50Z","emb_seb_v1_xx (modified) 4 (modified)","Arri CAP Compatible","emb_seb_v1_33pt.cube","(1.000)","10:11:56.09",,,,"HOUSE","INT-EXT","AFTERNOON",,"SD03","/Volumes/SebrGondwana/Projects/EMBERS/DIT/recordings/2022-06-09/Recordings/A011C004.mov"
"A012C003","Movie",,"A","10:16:20.15","128","4A","3","1","(0.7971 0.7971 0.7971) (0.0118 -0.0018 -0.0167) (0.9151 0.9151 0.9151);(1.0000 1.0000 1.0000) (0.0000 0.0000 0.0000) (1.0000 1.0000 1.0000)","40 mm","2.4",,,"400","172.8°","5600 K",,"24",,,"2022-06-09T00:18:29Z","2022-06-09T00:18:29Z","emb_seb_v1_xx (modified) 4 (modified)","Arri CAP Compatible","emb_seb_v1_33pt.cube","(1.000)","10:18:29.02",,,,"HOUSE","INT-EXT","AFTERNOON",,"SD03","/Volumes/SebrGondwana/Projects/EMBERS/DIT/recordings/2022-06-09/Recordings/A012C003.mov"
"A012C003 1","Movie",,"A","10:22:58.22","26","4A","3","rhr","(0.7971 0.7971 0.7971) (0.0118 -0.0018 -0.0167) (0.9151 0.9151 0.9151);(1.0000 1.0000 1.0000) (0.0000 0.0000 0.0000) (1.0000 1.0000 1.0000)","40 mm","2.4",,,"400","172.8°","5600 K",,"24",,,"2022-06-09T00:23:25Z","2022-06-09T00:23:25Z","emb_seb_v1_xx (modified) 4 (modified)","Arri CAP Compatible","emb_seb_v1_33pt.cube","(1.000)","10:23:25.05",,,,"HOUSE","INT-EXT","AFTERNOON",,"SD03","/Volumes/SebrGondwana/Projects/EMBERS/DIT/recordings/2022-06-09/Recordings/A012C003 1.mov"
"A012C003 2","Movie",,"A","10:26:09.05","6","4A","3","2fr","(0.8377 0.8377 0.8377) (-0.0066 -0.0201 -0.0350) (0.9138 0.9138 0.9138);(1.0000 1.0000 1.0000) (0.0000 0.0000 0.0000) (1.0000 1.0000 1.0000)","40 mm","2.4",,,"400","172.8°","5600 K",,"24",,,"2022-06-09T00:26:15Z","2022-06-09T00:26:15Z","emb_seb_v1_xx (modified) 4 (modified)","Arri CAP Compatible","emb_seb_v1_33pt.cube","(1.000)","10:26:15.13",,,,"HOUSE","INT-EXT","AFTERNOON",,"SD03","/Volumes/SebrGondwana/Projects/EMBERS/DIT/recordings/2022-06-09/Recordings/A012C003 2.mov"
"A012C004","Movie",,"A","10:26:40.06","81","4A","3","2","(0.8377 0.8377 0.8377) (-0.0066 -0.0201 -0.0350) (0.9138 0.9138 0.9138);(1.0000 1.0000 1.0000) (0.0000 0.0000 0.0000) (1.0000 1.0000 1.0000)","40 mm","2.4",,,"400","172.8°","5600 K",,"24",,,"2022-06-09T00:28:01Z","2022-06-09T00:28:01Z","emb_seb_v1_xx (modified) 4 (modified)","Arri CAP Compatible","emb_seb_v1_33pt.cube","(1.000)","10:28:01.12",,,,"HOUSE","INT-EXT","AFTERNOON",,"SD03","/Volumes/SebrGondwana/Projects/EMBERS/DIT/recordings/2022-06-09/Recordings/A012C004.mov"
"A012C004 1","Movie",,"A","10:29:07.00","7","4A","3","ng","(0.8377 0.8377 0.8377) (-0.0066 -0.0201 -0.0350) (0.9138 0.9138 0.9138);(1.0000 1.0000 1.0000) (0.0000 0.0000 0.0000) (1.0000 1.0000 1.0000)","40 mm","2.4",,,"400","172.8°","5600 K",,"24",,,"2022-06-09T00:29:14Z","2022-06-09T00:29:14Z","emb_seb_v1_xx (modified) 4 (modified)","Arri CAP Compatible","emb_seb_v1_33pt.cube","(1.000)","10:29:14.09",,,,"HOUSE","INT-EXT","AFTERNOON",,"SD03","/Volumes/SebrGondwana/Projects/EMBERS/DIT/recordings/2022-06-09/Recordings/A012C004 1.mov"
"A012C006","Movie",,"A","10:30:45.16","102","4A","3","3","(0.8377 0.8377 0.8377) (-0.0066 -0.0201 -0.0350) (0.9149 0.9141 0.9077);(1.0000 1.0000 1.0000) (0.0000 0.0000 0.0000) (1.0000 1.0000 1.0000)","40 mm","2.4",,,"400","172.8°","5600 K",,"24",,,"2022-06-09T00:32:27Z","2022-06-09T00:32:27Z","emb_seb_v1_xx (modified) 4 (modified)","Arri CAP Compatible","emb_seb_v1_33pt.cube","(1.000)","10:32:27.07",,,,"HOUSE","INT-EXT","AFTERNOON",,"SD03","/Volumes/SebrGondwana/Projects/EMBERS/DIT/recordings/2022-06-09/Recordings/A012C006.mov"
"A012C006 1","Movie",,"A","10:34:59.20","108","4A","3","4","(0.8377 0.8377 0.8377) (-0.0066 -0.0201 -0.0350) (0.9149 0.9141 0.9077);(1.0000 1.0000 1.0000) (0.0000 0.0000 0.0000) (1.0000 1.0000 1.0000)","40 mm","2.4",,,"400","172.8°","5600 K",,"24",,,"2022-06-09T00:36:47Z","2022-06-09T00:36:47Z","emb_seb_v1_xx (modified) 4 (modified)","Arri CAP Compatible","emb_seb_v1_33pt.cube","(1.000)","10:36:47.14",,,,"HOUSE","INT-EXT","AFTERNOON",,"SD03","/Volumes/SebrGondwana/Projects/EMBERS/DIT/recordings/2022-06-09/Recordings/A012C006 1.mov"
"A013C001","Movie",,"A","10:46:28.00","138","4B","3","1","(0.8377 0.8377 0.8377) (0.0112 -0.0023 -0.0172) (0.9149 0.9141 0.9077);(1.0000 1.0000 1.0000) (0.0000 0.0000 0.0000) (1.0000 1.0000 1.0000)","40 mm","2.4",,,"400","172.8°","5600 K",,"24",,,"2022-06-09T00:48:46Z","2022-06-09T00:48:46Z","emb_seb_v1_xx (modified) 4 (modified)","Arri CAP Compatible","emb_seb_v1_33pt.cube","(1.000)","10:48:45.21",,,,"HOUSE","INT-EXT","AFTERNOON",,"SD03","/Volumes/SebrGondwana/Projects/EMBERS/DIT/recordings/2022-06-09/Recordings/A013C001.mov"
"A013C001 1","Movie",,"A","12:04:20.06","12","5A","3","rhr","(0.7885 0.7885 0.7885) (0.0112 -0.0023 -0.0172) (1.0000 1.0000 1.0000);(1.0000 1.0000 1.0000) (0.0000 0.0000 0.0000) (1.0000 1.0000 1.0000)","40 mm","2.4",,,"400","172.8°","5600 K",,"24",,,"2022-06-09T02:04:32Z","2022-06-09T02:04:32Z","emb_seb_v1_xx (modified) 4 (modified)","Arri CAP Compatible","emb_seb_v1_33pt.cube","(1.000)","12:04:32.10",,,,"HOUSE","INT-EXT","AFTERNOON",,"SD03","/Volumes/SebrGondwana/Projects/EMBERS/DIT/recordings/2022-06-09/Recordings/A013C001 1.mov"
