"Name / Clip Identifier","Type","Camera","Clip Name","Look Name","TC Start","Duration","Create Date","Look Modified Date","Scene","Take","Flag","Rating","Label","FPS","Sensor FPS","EI/ISO","White Balance","Lens Model","Focal Length","Aperture","Filter","QC Remark","Comment","Grading Mode","Linked Slots"
No Clip Identifier,"Movie","A",,"emb_seb_v1_xx (modified) 4 (modified)","10:11:38.18","18","2022-06-09T00:12:50Z","2022-06-09T00:12:50Z","4A","1",,"0","No Label","24",,"800","5600 K",,"40 mm","2.8","ND 1.2; Diopter 1/2",,,"Arri CAP Compatible",
"A012C003","Movie","A",,"emb_seb_v1_xx (modified) 4 (modified)","10:16:20.15","128","2022-06-09T00:18:29Z","2022-06-09T00:18:29Z","4A","1",,"0","No Label","24",,"400","5600 K",,"40 mm","2.4",,,,"Arri CAP Compatible",
"A012C003 1","Movie","A",,"emb_seb_v1_xx (modified) 4 (modified)","10:22:58.22","26","2022-06-09T00:23:25Z","2022-06-09T00:23:25Z","4A","rhr",,"0","No Label","24",,"400","5600 K",,"40 mm","2.4",,,,"Arri CAP Compatible",
"A012C003 2","Movie","A",,"emb_seb_v1_xx (modified) 4 (modified)","10:26:09.05","6","2022-06-09T00:26:15Z","2022-06-09T00:26:15Z","4A","2fr",,"0","No Label","24",,"400","5600 K",,"40 mm","2.4",,,,"Arri CAP Compatible",
"A012C004","Movie","A",,"emb_seb_v1_xx (modified) 4 (modified)","10:26:40.06","81","2022-06-09T00:28:01Z","2022-06-09T00:28:01Z","4A","2",,"0","No Label","24",,"400","5600 K",,"40 mm","2.4",,,,"Arri CAP Compatible",
"A012C004 1","Movie","A",,"emb_seb_v1_xx (modified) 4 (modified)","10:29:07.00","7","2022-06-09T00:29:14Z","2022-06-09T00:29:14Z","4A","ng",,"0","No Label","24",,"400","5600 K",,"40 mm","2.4",,,,"Arri CAP Compatible",
"A012C006","Movie","A",,"emb_seb_v1_xx (modified) 4 (modified)","10:30:45.16","102","2022-06-09T00:32:27Z","2022-06-09T00:32:27Z","4A","3",,"0","No Label","24",,"400","5600 K",,"40 mm","2.4",,,,"Arri CAP Compatible",
"A012C006 1","Movie","A",,"emb_seb_v1_xx (modified) 4 (modified)","10:34:59.20","108","2022-06-09T00:36:47Z","2022-06-09T00:36:47Z","4A","4",,"0","No Label","24",,"400","5600 K",,"40 mm","2.4",,,,"Arri CAP Compatible",
"A013C001","Movie","A",,"emb_seb_v1_xx (modified) 4 (modified)","10:46:28.00","138","2022-06-09T00:48:46Z","2022-06-09T00:48:46Z","4B","1",,"0","No Label","24",,"400","5600 K",,"40 mm","2.4",,,,"Arri CAP Compatible",
"A013C001 1","Movie","A",,"emb_seb_v1_xx (modified) 4 (modified)","12:04:20.06","12","2022-06-09T02:04:32Z","2022-06-09T02:04:32Z","5A","rhr",,"0","No Label","24",,"400","5600 K",,"40 mm","2.4",,,,"Arri CAP Compatible",
"A013C001 2","Movie","A",,"emb_seb_v1_xx (modified) 4 (modified)","12:05:56.13","178","2022-06-09T02:08:54Z","2022-06-09T02:08:54Z","5A","1",,"0","No Label","24",,"400","5600 K",,"40 mm","2.4",,,,"Arri CAP Compatible",
"A013C003","Movie","A",,"emb_seb_v1_xx (modified) 4 (modified)","12:13:38.20","166","2022-06-09T02:16:25Z","2022-06-09T02:16:25Z","5A","2",,"0","No Label","24",,"400","5600 K",,"40 mm","2.4",,,,"Arri CAP Compatible",
"A013C003 1","Movie","A",,"emb_seb_v1_xx (modified) 4 (modified)","12:19:03.17","19","2022-06-09T02:19:23Z","2022-06-09T02:19:23Z","5A","3fr",,"0","No Label","24",,"400","5600 K",,"40 mm","2.4",,,,"Arri CAP Compatible",
"A013C003 2","Movie","A",,"emb_seb_v1_xx (modified) 4 (modified)","12:19:38.01","171","2022-06-09T02:22:29Z","2022-06-09T02:22:29Z","5A","3",,"0","No Label","24",,"400","5600 K",,"40 mm","2.4",,,,"Arri CAP Compatible",
"A013C003 3","Movie","A",,"emb_seb_v1_xx (modified) 4 (modified)","12:32:38.14","6","2022-06-09T02:32:44Z","2022-06-09T02:32:44Z","5B","rhr",,"0","No Label","24",,"400","5600 K",,"40 mm","2.4",,,,"Arri CAP Compatible",
"A013C003 4","Movie","A",,"emb_seb_v1_xx (modified) 4 (modified)","12:34:58.05","10","2022-06-09T02:35:08Z","2022-06-09T02:35:08Z","5B","rhr",,"0","No Label","24",,"400","5600 K",,"40 mm","2.4",,,,"Arri CAP Compatible",
"A013C003 5","Movie","A",,"rrr","12:35:54.06","312","2022-06-09T02:41:06Z","2022-06-09T02:41:06Z","5B","1",,"0","No Label","24",,"400","5600 K",,"40 mm","2.4",,,,"Arri CAP Compatible",
"A014C002","Movie","A",,"rrr (modified)","12:52:44.09","193","2022-06-09T02:55:57Z","2022-06-09T02:55:57Z","5C","1",,"0","No Label","24",,"400","5600 K",,"40 mm","2.4",,,,"Arri CAP Compatible",
"A014C002 1","Movie","A",,"rrr (modified)","13:04:09.23","48","2022-06-09T03:04:58Z","2022-06-09T03:04:58Z","5D","rhr",,"0","No Label","24",,"400","5600 K",,"40 mm","2.4",,,,"Arri CAP Compatible",
"A014C002","Movie","A",,"rrr (modified)","13:08:30.10","23","2022-06-09T03:08:54Z","2022-06-09T03:08:54Z","5D","1",,"0","No Label","24",,"400","5600 K",,"40 mm","2.4",,,,"Arri CAP Compatible",
"A014C003","Movie","A",,"rrr (modified)","13:09:17.13","24","2022-06-09T03:09:41Z","2022-06-09T03:09:41Z","5D","2",,"0","No Label","24",,"400","5600 K",,"40 mm","2.4",,,,"Arri CAP Compatible",
"A014C002 2","Movie","A",,"rrr (modified)","13:13:16.07","90","2022-06-09T03:14:46Z","2022-06-09T03:14:46Z","5E","1",,"0","No Label","24",,"400","5600 K",,"40 mm","2.4",,,,"Arri CAP Compatible",
"A014C006","Movie","A",,"rrr (modified)","13:18:27.18","71","2022-06-09T03:19:39Z","2022-06-09T03:19:39Z","5F","1",,"0","No Label","24",,"400","5600 K",,"40 mm","2.4",,,,"Arri CAP Compatible",
"A014C006 1","Movie","A",,"rrr (modified)","13:20:26.20","57","2022-06-09T03:21:23Z","2022-06-09T03:21:23Z","5F","2",,"0","No Label","24",,"400","5600 K",,"40 mm","2.4",,,,"Arri CAP Compatible",
"A015C001","Movie","A",,"rrr (modified)","14:44:44.17","54","2022-06-09T04:45:39Z","2022-06-09T04:45:39Z","5G","1",,"0","No Label","24",,"400","5600 K",,"40 mm","2.4",,,,"Arri CAP Compatible",
"A015C002","Movie","A",,"rrr (modified)","14:47:58.09","87","2022-06-09T04:49:25Z","2022-06-09T04:49:25Z","5G","2",,"0","No Label","24",,"400","5600 K",,"40 mm","2.4",,,,"Arri CAP Compatible",
"A015C003","Movie","A",,"rrr (modified)","14:50:47.09","156","2022-06-09T04:53:23Z","2022-06-09T04:53:23Z","5G","3",,"0","No Label","24",,"400","5600 K",,"40 mm","2.4",,,,"Arri CAP Compatible",
"A015C004","Movie","A",,"rrr (modified)","14:54:31.14","90","2022-06-09T04:56:02Z","2022-06-09T04:56:02Z","5G","4",,"0","No Label","24",,"400","5600 K",,"40 mm","2.4",,,,"Arri CAP Compatible",
"A015C005","Movie","A",,"rrr (modified)","15:05:33.11","70","2022-06-09T05:06:43Z","2022-06-09T05:06:43Z","5G","5",,"0","No Label","24",,"400","5600 K",,"40 mm","2.4",,,,"Arri CAP Compatible",
"A015C005 1","Movie","A",,"rrr (modified)","15:19:43.15","12","2022-06-09T05:19:55Z","2022-06-09T05:19:55Z","5H","1",,"0","No Label","24",,"400","5600 K",,"40 mm","2.8","ND0.6 + 0.3",,,"Arri CAP Compatible",
"A016C001","Movie","A",,"rrr (modified)","15:19:57.16","36","2022-06-09T05:20:33Z","2022-06-09T05:20:33Z","5H","1pt2",,"0","No Label","24",,"400","5600 K",,"40 mm","2.8","ND0.6 + 0.3",,,"Arri CAP Compatible",
"A016C002","Movie","A",,"rrr (modified)","15:21:09.12","49","2022-06-09T05:21:58Z","2022-06-09T05:21:58Z","5H","2",,"0","No Label","24",,"400","5600 K",,"40 mm","2.8","ND0.6 + 0.3",,,"Arri CAP Compatible",
"A016C003","Movie","A",,"rrr (modified)","15:54:48.22","144","2022-06-09T05:57:12Z","2022-06-09T05:57:12Z","7A","rhr",,"0","No Label","24",,"800","5600 K",,"40 mm","2.8",,,,"Arri CAP Compatible",
"A016C003 1","Movie","A",,"rr (modified)","16:09:47.13","10","2022-06-09T06:09:57Z","2022-06-09T06:09:57Z","7A","rhr",,"0","No Label","24",,"800","5600 K",,"40 mm","2.8",,,,"Arri CAP Compatible",
"A016C004","Movie","A",,"rr (modified)","16:13:49.21","132","2022-06-09T06:16:01Z","2022-06-09T06:16:01Z","7A","1",,"0","No Label","24",,"800","5600 K",,"40 mm","2.8",,,,"Arri CAP Compatible",
"A016C004 1","Movie","A",,"rr (modified)","16:19:33.19","25","2022-06-09T06:19:58Z","2022-06-09T06:19:58Z","7A","2",,"0","No Label","24",,"800","5600 K",,"40 mm","2.8",,,,"Arri CAP Compatible",
"A016C004 2","Movie","A",,"rr (modified)","16:20:12.03","22","2022-06-09T06:20:34Z","2022-06-09T06:20:34Z","7A","3",,"0","No Label","24",,"800","5600 K",,"40 mm","2.8",,,,"Arri CAP Compatible",
"A016C007","Movie","A",,"rr (modified)","16:22:20.14","110","2022-06-09T06:24:10Z","2022-06-09T06:24:10Z","7A","4",,"0","No Label","24",,"800","5600 K",,"40 mm","2.8",,,,"Arri CAP Compatible",
"A016C008","Movie","A",,"rr (modified)","16:42:13.15","118","2022-06-09T06:44:12Z","2022-06-09T06:44:12Z","7B","1",,"0","No Label","24",,"800","5600 K",,"40 mm","2.8",,,,"Arri CAP Compatible",
"A016C009","Movie","A",,"rr (modified)","16:46:24.10","205","2022-06-09T06:49:49Z","2022-06-09T06:49:49Z","7B","2",,"0","No Label","24",,"800","5600 K",,"40 mm","2.8",,,,"Arri CAP Compatible",
"A017C001","Movie","A",,"rr (modified)","16:51:31.03","148","2022-06-09T06:53:59Z","2022-06-09T06:53:59Z","7B","3",,"0","No Label","24",,"800","5600 K",,"40 mm","2.8",,,,"Arri CAP Compatible",
"A017C002","Still","A",,"rr (modified)","17:00:43.18",,"2022-06-09T07:00:43Z","2022-06-09T07:00:43Z","7C","1",,"0","No Label","24",,"800","5600 K",,"40 mm","2.8",,,,"Arri CAP Compatible",
"A017C002 1","Movie","A",,"rr (modified)","17:02:40.04","128","2022-06-09T07:04:47Z","2022-06-09T07:04:47Z","7C","1",,"0","No Label","24",,"800","5600 K",,"40 mm","2.8",,,,"Arri CAP Compatible",
"A017C002 2","Movie","A",,"rr (modified)","17:04:49.13","70","2022-06-09T07:05:59Z","2022-06-09T07:05:59Z","7C","1",,"0","No Label","24",,"800","5600 K",,"40 mm","2.8",,,,"Arri CAP Compatible",
"A017C002 3","Still","A",,"rr (modified)","17:14:17.06",,"2022-06-09T07:14:17Z","2022-06-09T07:14:17Z","7D","rhr",,"0","No Label","24",,"800","5600 K",,"40 mm","2.8",,,,"Arri CAP Compatible",
"A017C003","Movie","A",,"rr (modified)","17:19:58.11","44","2022-06-09T07:20:42Z","2022-06-09T07:20:42Z","7D","1",,"0","No Label","24",,"800","5600 K",,"40 mm","2.8",,,,"Arri CAP Compatible",
"A017C004","Movie","A",,"rr (modified)","17:20:57.23","90","2022-06-09T07:22:27Z","2022-06-09T07:22:27Z","7D","2",,"0","No Label","24",,"400","5600 K",,"40 mm","2.8",,,,"Arri CAP Compatible",
"A018C001","Movie","A",,"rr (modified)","17:32:23.00","58","2022-06-09T07:33:21Z","2022-06-09T07:33:21Z","7E","1",,"0","No Label","24",,"400","5600 K",,"40 mm","2.8",,,,"Arri CAP Compatible",
"A018C002","Movie","A",,"rr (modified)","17:36:21.08","45","2022-06-09T07:37:06Z","2022-06-09T07:37:06Z","7","2",,"0","No Label","24",,"400","5600 K",,"40 mm","2.8",,,,"Arri CAP Compatible",
"test cdl combined","Look","A",,"New Look 1",,,"2022-06-18T21:48:22Z","2022-06-18T21:48:22Z","7E","2",,"0","No Label",,,"400","5600 K",,"40 mm","2.8",,,,"CDL and LUT",
"test cdl combined actual combined","Look","A",,"New Look 1 (modified)",,,"2022-06-18T21:51:05Z","2022-06-18T21:51:05Z","7E","2",,"0","No Label",,,"400","5600 K",,"40 mm","2.8",,,,"CDL Advanced",
"cdl3+4","Look","A",,"New Look 1 (modified)",,,"2022-06-18T22:53:53Z","2022-06-18T22:53:53Z","7E","2",,"0","No Label",,,"400","5600 K",,"40 mm","2.8",,,,"CDL Advanced",
