Thumbnail,Clip Identifier,Flag,Camera,TC Start,Duration,Scene,Take,CDL Nodes (SOP),Look Modified Date,Create Date,Look Name,Location,Int/Ext,Day/Night,Comment,Focal Length,Aperture,Focus Distance,ND,Filter,EI/ISO,Shutter Angle,White Balance,Tint,FPS,Project FPS,Sensor FPS,Lens Model,Shooting Day,Grading Mode,LUT Nodes,SAT Nodes,Output Colorspace,Linked Slots,Absolute Path
"",,,A,10:11:38.18,18 sec,4A,1,"(0.9202 0.9202 0.9202) (0.0118 -0.0018 -0.0167) (0.9151 0.9151 0.9151)(1.0000 1.0000 1.0000) (0.0000 0.0000 0.0000) (1.0000 1.0000 1.0000)",09/06/2022,Yesterday 10:12,emb_seb_v1_xx (modified) 4 (modified),HOUSE,INT-EXT,AFTERNOON,,40 mm,2.8,,,ND 1.2; Diopter 1/2,800,172.8°,5600 K,,24,,,,SD03,Arri CAP Compatible,emb_seb_v1_33pt.cube,(1.000),,,/Volumes/SebrGondwana/Projects/EMBERS/DIT/recordings/2022-06-09/Recordings/A011C004.mov
"",A012C003,,A,10:16:20.15,2:08 min,4A,1,"(0.7971 0.7971 0.7971) (0.0118 -0.0018 -0.0167) (0.9151 0.9151 0.9151)(1.0000 1.0000 1.0000) (0.0000 0.0000 0.0000) (1.0000 1.0000 1.0000)",09/06/2022,Yesterday 10:18,emb_seb_v1_xx (modified) 4 (modified),HOUSE,INT-EXT,AFTERNOON,,40 mm,2.4,,,,400,172.8°,5600 K,,24,,,,SD03,Arri CAP Compatible,emb_seb_v1_33pt.cube,(1.000),,,/Volumes/SebrGondwana/Projects/EMBERS/DIT/recordings/2022-06-09/Recordings/A012C003.mov
"",A012C003 1,,A,10:22:58.22,26 sec,4A,rhr,"(0.7971 0.7971 0.7971) (0.0118 -0.0018 -0.0167) (0.9151 0.9151 0.9151)(1.0000 1.0000 1.0000) (0.0000 0.0000 0.0000) (1.0000 1.0000 1.0000)",09/06/2022,Yesterday 10:23,emb_seb_v1_xx (modified) 4 (modified),HOUSE,INT-EXT,AFTERNOON,,40 mm,2.4,,,,400,172.8°,5600 K,,24,,,,SD03,Arri CAP Compatible,emb_seb_v1_33pt.cube,(1.000),,,/Volumes/SebrGondwana/Projects/EMBERS/DIT/recordings/2022-06-09/Recordings/A012C003 1.mov
"",A012C003 2,,A,10:26:09.05,6 sec,4A,2fr,"(0.8377 0.8377 0.8377) (-0.0066 -0.0201 -0.0350) (0.9138 0.9138 0.9138)(1.0000 1.0000 1.0000) (0.0000 0.0000 0.0000) (1.0000 1.0000 1.0000)",09/06/2022,Yesterday 10:26,emb_seb_v1_xx (modified) 4 (modified),HOUSE,INT-EXT,AFTERNOON,,40 mm,2.4,,,,400,172.8°,5600 K,,24,,,,SD03,Arri CAP Compatible,emb_seb_v1_33pt.cube,(1.000),,,/Volumes/SebrGondwana/Projects/EMBERS/DIT/recordings/2022-06-09/Recordings/A012C003 2.mov
"",A012C004,,A,10:26:40.06,1:21 min,4A,2,"(0.8377 0.8377 0.8377) (-0.0066 -0.0201 -0.0350) (0.9138 0.9138 0.9138)(1.0000 1.0000 1.0000) (0.0000 0.0000 0.0000) (1.0000 1.0000 1.0000)",09/06/2022,Yesterday 10:28,emb_seb_v1_xx (modified) 4 (modified),HOUSE,INT-EXT,AFTERNOON,,40 mm,2.4,,,,400,172.8°,5600 K,,24,,,,SD03,Arri CAP Compatible,emb_seb_v1_33pt.cube,(1.000),,,/Volumes/SebrGondwana/Projects/EMBERS/DIT/recordings/2022-06-09/Recordings/A012C004.mov
"",A012C004 1,,A,10:29:07.00,7 sec,4A,ng,"(0.8377 0.8377 0.8377) (-0.0066 -0.0201 -0.0350) (0.9138 0.9138 0.9138)(1.0000 1.0000 1.0000) (0.0000 0.0000 0.0000) (1.0000 1.0000 1.0000)",09/06/2022,Yesterday 10:29,emb_seb_v1_xx (modified) 4 (modified),HOUSE,INT-EXT,AFTERNOON,,40 mm,2.4,,,,400,172.8°,5600 K,,24,,,,SD03,Arri CAP Compatible,emb_seb_v1_33pt.cube,(1.000),,,/Volumes/SebrGondwana/Projects/EMBERS/DIT/recordings/2022-06-09/Recordings/A012C004 1.mov
"",A012C006,,A,10:30:45.16,1:41 min,4A,3,"(0.8377 0.8377 0.8377) (-0.0066 -0.0201 -0.0350) (0.9149 0.9141 0.9077)(1.0000 1.0000 1.0000) (0.0000 0.0000 0.0000) (1.0000 1.0000 1.0000)",09/06/2022,Yesterday 10:32,emb_seb_v1_xx (modified) 4 (modified),HOUSE,INT-EXT,AFTERNOON,,40 mm,2.4,,,,400,172.8°,5600 K,,24,,,,SD03,Arri CAP Compatible,emb_seb_v1_33pt.cube,(1.000),,,/Volumes/SebrGondwana/Projects/EMBERS/DIT/recordings/2022-06-09/Recordings/A012C006.mov
"",A012C006 1,,A,10:34:59.20,1:47 min,4A,4,"(0.8377 0.8377 0.8377) (-0.0066 -0.0201 -0.0350) (0.9149 0.9141 0.9077)(1.0000 1.0000 1.0000) (0.0000 0.0000 0.0000) (1.0000 1.0000 1.0000)",09/06/2022,Yesterday 10:36,emb_seb_v1_xx (modified) 4 (modified),HOUSE,INT-EXT,AFTERNOON,,40 mm,2.4,,,,400,172.8°,5600 K,,24,,,,SD03,Arri CAP Compatible,emb_seb_v1_33pt.cube,(1.000),,,/Volumes/SebrGondwana/Projects/EMBERS/DIT/recordings/2022-06-09/Recordings/A012C006 1.mov
"",A013C001,,A,10:46:28.00,2:17 min,4B,1,"(0.8377 0.8377 0.8377) (0.0112 -0.0023 -0.0172) (0.9149 0.9141 0.9077)(1.0000 1.0000 1.0000) (0.0000 0.0000 0.0000) (1.0000 1.0000 1.0000)",09/06/2022,Yesterday 10:48,emb_seb_v1_xx (modified) 4 (modified),HOUSE,INT-EXT,AFTERNOON,,40 mm,2.4,,,,400,172.8°,5600 K,,24,,,,SD03,Arri CAP Compatible,emb_seb_v1_33pt.cube,(1.000),,,/Volumes/SebrGondwana/Projects/EMBERS/DIT/recordings/2022-06-09/Recordings/A013C001.mov
"",A013C001 1,,A,12:04:20.06,12 sec,5A,rhr,"(0.7885 0.7885 0.7885) (0.0112 -0.0023 -0.0172) (1.0000 1.0000 1.0000)(1.0000 1.0000 1.0000) (0.0000 0.0000 0.0000) (1.0000 1.0000 1.0000)",09/06/2022,Yesterday 12:04,emb_seb_v1_xx (modified) 4 (modified),HOUSE,INT-EXT,AFTERNOON,,40 mm,2.4,,,,400,172.8°,5600 K,,24,,,,SD03,Arri CAP Compatible,emb_seb_v1_33pt.cube,(1.000),,,/Volumes/SebrGondwana/Projects/EMBERS/DIT/recordings/2022-06-09/Recordings/A013C001 1.mov
"",A013C001 2,,A,12:05:56.13,2:57 min,5A,1,"(0.7974 0.7889 0.7585) (0.0124 -0.0029 -0.0148) (0.9759 0.9759 0.9759)(1.0000 1.0000 1.0000) (0.0000 0.0000 0.0000) (1.0000 1.0000 1.0000)",09/06/2022,Yesterday 12:08,emb_seb_v1_xx (modified) 4 (modified),HOUSE,INT-EXT,AFTERNOON,,40 mm,2.4,,,,400,172.8°,5600 K,,24,,,,SD03,Arri CAP Compatible,emb_seb_v1_33pt.cube,(1.000),,,/Volumes/SebrGondwana/Projects/EMBERS/DIT/recordings/2022-06-09/Recordings/A013C001 2.mov
"",A013C003,,A,12:13:38.20,2:46 min,5A,2,"(0.7786 0.7496 0.7246) (0.0016 -0.0137 -0.0256) (0.9504 0.9388 0.9947)(1.0000 1.0000 1.0000) (0.0000 0.0000 0.0000) (1.0000 1.0000 1.0000)",09/06/2022,Yesterday 12:16,emb_seb_v1_xx (modified) 4 (modified),HOUSE,INT-EXT,AFTERNOON,,40 mm,2.4,,,,400,172.8°,5600 K,,24,,,,SD03,Arri CAP Compatible,emb_seb_v1_33pt.cube,(1.000),,,/Volumes/SebrGondwana/Projects/EMBERS/DIT/recordings/2022-06-09/Recordings/A013C003.mov
"",A013C003 1,,A,12:19:03.17,19 sec,5A,3fr,"(0.7786 0.7496 0.7246) (0.0016 -0.0137 -0.0256) (0.9504 0.9388 0.9947)(1.0000 1.0000 1.0000) (0.0000 0.0000 0.0000) (1.0000 1.0000 1.0000)",09/06/2022,Yesterday 12:19,emb_seb_v1_xx (modified) 4 (modified),HOUSE,INT-EXT,AFTERNOON,,40 mm,2.4,,,,400,172.8°,5600 K,,24,,,,SD03,Arri CAP Compatible,emb_seb_v1_33pt.cube,(1.000),,,/Volumes/SebrGondwana/Projects/EMBERS/DIT/recordings/2022-06-09/Recordings/A013C003 1.mov
"",A013C003 2,,A,12:19:38.01,2:50 min,5A,3,"(0.7786 0.7496 0.7246) (0.0016 -0.0137 -0.0256) (0.9504 0.9388 0.9947)(1.0000 1.0000 1.0000) (0.0000 0.0000 0.0000) (1.0000 1.0000 1.0000)",09/06/2022,Yesterday 12:22,emb_seb_v1_xx (modified) 4 (modified),HOUSE,INT-EXT,AFTERNOON,,40 mm,2.4,,,,400,172.8°,5600 K,,24,,,,SD03,Arri CAP Compatible,emb_seb_v1_33pt.cube,(1.000),,,/Volumes/SebrGondwana/Projects/EMBERS/DIT/recordings/2022-06-09/Recordings/A013C003 2.mov
"",A013C003 3,,A,12:32:38.14,6 sec,5B,rhr,"(0.7786 0.7496 0.7246) (0.0016 -0.0137 -0.0256) (0.9504 0.9388 0.9947)(1.0000 1.0000 1.0000) (0.0000 0.0000 0.0000) (1.0000 1.0000 1.0000)",09/06/2022,Yesterday 12:32,emb_seb_v1_xx (modified) 4 (modified),HOUSE,INT-EXT,AFTERNOON,,40 mm,2.4,,,,400,172.8°,5600 K,,24,,,,SD03,Arri CAP Compatible,emb_seb_v1_33pt.cube,(1.000),,,/Volumes/SebrGondwana/Projects/EMBERS/DIT/recordings/2022-06-09/Recordings/A013C003 3.mov
"",A013C003 4,,A,12:34:58.05,10 sec,5B,rhr,"(0.7786 0.7496 0.7246) (0.0016 -0.0137 -0.0256) (0.9504 0.9388 0.9947)(1.0000 1.0000 1.0000) (0.0000 0.0000 0.0000) (1.0000 1.0000 1.0000)",09/06/2022,Yesterday 12:35,emb_seb_v1_xx (modified) 4 (modified),HOUSE,INT-EXT,AFTERNOON,,40 mm,2.4,,,,400,172.8°,5600 K,,24,,,,SD03,Arri CAP Compatible,emb_seb_v1_33pt.cube,(1.000),,,/Volumes/SebrGondwana/Projects/EMBERS/DIT/recordings/2022-06-09/Recordings/A013C003 4.mov
"",A013C003 5,,A,12:35:54.06,5:12 min,5B,1,"(0.7786 0.7496 0.7246) (0.0016 -0.0137 -0.0256) (0.9504 0.9388 0.9947)(1.0000 1.0000 1.0000) (0.0000 0.0000 0.0000) (1.0000 1.0000 1.0000)",09/06/2022,Yesterday 12:41,rrr,HOUSE,INT-EXT,AFTERNOON,,40 mm,2.4,,,,400,172.8°,5600 K,,24,,,,SD03,Arri CAP Compatible,emb_seb_v1_33pt.cube,(1.000),,,/Volumes/SebrGondwana/Projects/EMBERS/DIT/recordings/2022-06-09/Recordings/A013C003 5.mov
"",A014C002,,A,12:52:44.09,3:13 min,5C,1,"(0.7786 0.7496 0.7246) (0.0049 -0.0145 -0.0276) (0.9504 0.9388 0.9947)(1.0000 1.0000 1.0000) (0.0000 0.0000 0.0000) (1.0000 1.0000 1.0000)",09/06/2022,Yesterday 12:55,rrr (modified),HOUSE,INT-EXT,AFTERNOON,,40 mm,2.4,,,,400,172.8°,5600 K,,24,,,,SD03,Arri CAP Compatible,emb_seb_v1_33pt.cube,(1.000),,,/Volumes/SebrGondwana/Projects/EMBERS/DIT/recordings/2022-06-09/Recordings/A014C002.mov
"",A014C002 1,,A,13:04:09.23,48 sec,5D,rhr,"(0.7606 0.7316 0.7067) (0.0049 -0.0045 -0.0276) (0.9504 0.9388 0.9947)(1.0000 1.0000 1.0000) (0.0000 0.0000 0.0000) (1.0000 1.0000 1.0000)",09/06/2022,Yesterday 13:04,rrr (modified),HOUSE,INT-EXT,AFTERNOON,,40 mm,2.4,,,,400,172.8°,5600 K,,24,,,,SD03,Arri CAP Compatible,emb_seb_v1_33pt.cube,(1.000),,,/Volumes/SebrGondwana/Projects/EMBERS/DIT/recordings/2022-06-09/Recordings/A014C002 1.mov
"",A014C002,,A,13:08:30.10,23 sec,5D,1,"(0.7606 0.7316 0.7067) (0.0023 -0.0071 -0.0302) (1.0915 1.0799 1.1358)(1.0000 1.0000 1.0000) (0.0000 0.0000 0.0000) (1.0000 1.0000 1.0000)",09/06/2022,Yesterday 13:08,rrr (modified),HOUSE,INT-EXT,AFTERNOON,,40 mm,2.4,,,,400,172.8°,5600 K,,24,,,,SD03,Arri CAP Compatible,emb_seb_v1_33pt.cube,(1.000),,,/Volumes/SebrGondwana/Projects/EMBERS/DIT/recordings/2022-06-09/Recordings/A014C002 2.mov
"",A014C003,,A,13:09:17.13,24 sec,5D,2,"(0.7606 0.7316 0.7067) (0.0023 -0.0071 -0.0302) (1.0915 1.0799 1.1358)(1.0000 1.0000 1.0000) (0.0000 0.0000 0.0000) (1.0000 1.0000 1.0000)",09/06/2022,Yesterday 13:09,rrr (modified),HOUSE,INT-EXT,AFTERNOON,,40 mm,2.4,,,,400,172.8°,5600 K,,24,,,,SD03,Arri CAP Compatible,emb_seb_v1_33pt.cube,(1.000),,,/Volumes/SebrGondwana/Projects/EMBERS/DIT/recordings/2022-06-09/Recordings/A014C002 3.mov
"",A014C002 2,,A,13:13:16.07,1:30 min,5E,1,"(0.7606 0.7316 0.7067) (0.0023 -0.0071 -0.0302) (1.0915 1.0799 1.1358)(1.0000 1.0000 1.0000) (0.0000 0.0000 0.0000) (1.0000 1.0000 1.0000)",09/06/2022,Yesterday 13:14,rrr (modified),HOUSE,INT-EXT,AFTERNOON,,40 mm,2.4,,,,400,172.8°,5600 K,,24,,,,SD03,Arri CAP Compatible,emb_seb_v1_33pt.cube,(1.000),,,/Volumes/SebrGondwana/Projects/EMBERS/DIT/recordings/2022-06-09/Recordings/A014C002 2 1.mov
"",A014C006,,A,13:18:27.18,1:11 min,5F,1,"(0.7606 0.7316 0.7067) (0.0023 -0.0071 -0.0302) (1.0915 1.0799 1.1358)(1.0000 1.0000 1.0000) (0.0000 0.0000 0.0000) (1.0000 1.0000 1.0000)",09/06/2022,Yesterday 13:19,rrr (modified),HOUSE,INT,AFTERNOON,,40 mm,2.4,,,,400,172.8°,5600 K,,24,,,,SD03,Arri CAP Compatible,emb_seb_v1_33pt.cube,(1.000),,,/Volumes/SebrGondwana/Projects/EMBERS/DIT/recordings/2022-06-09/Recordings/A014C006.mov
"",A014C006 1,,A,13:20:26.20,57 sec,5F,2,"(0.7606 0.7316 0.7067) (0.0023 -0.0071 -0.0302) (1.0915 1.0799 1.1358)(1.0000 1.0000 1.0000) (0.0000 0.0000 0.0000) (1.0000 1.0000 1.0000)",09/06/2022,Yesterday 13:21,rrr (modified),HOUSE,INT,AFTERNOON,,40 mm,2.4,,,,400,172.8°,5600 K,,24,,,,SD03,Arri CAP Compatible,emb_seb_v1_33pt.cube,(1.000),,,/Volumes/SebrGondwana/Projects/EMBERS/DIT/recordings/2022-06-09/Recordings/A014C006 1.mov
"",A015C001,,A,14:44:44.17,54 sec,5G,1,"(0.7587 0.7297 0.7048) (0.0091 -0.0003 -0.0234) (0.9093 0.8978 0.9536)(1.0000 1.0000 1.0000) (0.0000 0.0000 0.0000) (1.0000 1.0000 1.0000)",09/06/2022,Yesterday 14:45,rrr (modified),HOUSE,INT,AFTERNOON,,40 mm,2.4,,,,400,172.8°,5600 K,,24,,,,SD03,Arri CAP Compatible,emb_seb_v1_33pt.cube,(1.000),,,/Volumes/SebrGondwana/Projects/EMBERS/DIT/recordings/2022-06-09/Recordings/A015C001.mov
