2nd Asst,Angle,Audio End TC,Audio Media,Audio Notes,Audio Start TC,CDL SAT,CDL SOP,Camera #,Camera Aperture,Camera Assistant,Camera Firmware,Camera Manufacturer,Camera Serial #,Camera Type,Clip Color,Clip Directory,Color Space Notes,Comments,DOP,Data Wrangler,Description,Digital Technician,Director,Distance,End TC,Episode #,Episode Name,File Name,Filter,Good Take,ISO,Keywords,LUT 1,LUT Used,Lens Notes,Lens Number,Lens Type,Location,ND Filter,Producer,Production Name,Reel Name,Resolution,Reviewed By - Reviewers Notes,Scene,Script Supervisor,Shot,Shot Type,Shutter,Sound Mixer,Soundroll,Start TC,Take,Track 1,Track 2,Track 3,Track 4,Track 5,Track 6,Track 7,Track 8,VFX Notes,White Balance Tint,White Point (Kelvin)
,,,,,,1.0000,(1.1604 1.1560 1.1604) (-0.0818 -0.0774 -0.0818) (1.0000 1.0000 1.0000),A,T4 z70-200mm,,,Sony,00011206,MPC-3610,,/Volumes/spf_das_areca/INTERCEPTOR/RUSHES/20210430_SD22/Camera_Media/A045/A045CALK/Clip/A045C001_21043090,S-Gamut3.Cine/S-Log3,,,,,,,,13:34:31:13,,,A045C001_21043090.mxf,ND.3,1,2500,,1_SGamut3CineSLog3_To_LC-709.cube,1_SGamut3CineSLog3_To_LC-709.cube,,,Unknown,,0.3,,,045,4096x3024,,82,,001,,0.02002315,,,13:32:35:21,1,Int 1,Int 2,Int 3,Int 4,,,,,,0,4000
,,,,,,1.0000,(1.1604 1.1560 1.1604) (-0.0818 -0.0774 -0.0818) (1.0000 1.0000 1.0000),A,T4 z70-200mm,,,Sony,00011206,MPC-3610,,/Volumes/spf_das_areca/INTERCEPTOR/RUSHES/20210430_SD22/Camera_Media/A045/A045CALK/Clip/A045C002_210430M9,S-Gamut3.Cine/S-Log3,,,,,,,,13:41:29:17,,,A045C002_210430M9.mxf,ND.3,1,2500,,1_SGamut3CineSLog3_To_LC-709.cube,1_SGamut3CineSLog3_To_LC-709.cube,,,Unknown,,0.3,,,045,4096x3024,,82,,002,,0.02002315,,,13:37:20:13,2,Int 1,Int 2,Int 3,Int 4,,,,,,0,4000
,,,,,,1.0000,(1.1604 1.1560 1.1604) (-0.0818 -0.0774 -0.0818) (1.0000 1.0000 1.0000),A,T5.6 z70-200mm,,,Sony,00011206,MPC-3610,,/Volumes/spf_das_areca/INTERCEPTOR/RUSHES/20210430_SD22/Camera_Media/A045/A045CALK/Clip/A045C003_21043031,S-Gamut3.Cine/S-Log3,,,,,,,,13:53:06:17,,,A045C003_21043031.mxf,,1,2500,,1_SGamut3CineSLog3_To_LC-709.cube,1_SGamut3CineSLog3_To_LC-709.cube,,,Unknown,,0,,,045,4096x3024,,82,,003,,0.02002315,,,13:49:37:17,3,Int 1,Int 2,Int 3,Int 4,,,,,,0,4000
,,,,,,1.0000,(1.1604 1.1560 1.1604) (-0.0818 -0.0774 -0.0818) (1.0000 1.0000 1.0000),A,T5.6 z70-200mm,,,Sony,00011206,MPC-3610,,/Volumes/spf_das_areca/INTERCEPTOR/RUSHES/20210430_SD22/Camera_Media/A045/A045CALK/Clip/A045C004_210430VW,S-Gamut3.Cine/S-Log3,,,,,,,,13:55:01:13,,,A045C004_210430VW.mxf,,1,2500,,1_SGamut3CineSLog3_To_LC-709.cube,1_SGamut3CineSLog3_To_LC-709.cube,,,Unknown,,0,,,045,4096x3024,,82,,004,,0.02002315,,,13:54:03:21,4,Int 1,Int 2,Int 3,Int 4,,,,,,0,4000
,,,,,,1.0000,(1.1604 1.1560 1.1604) (-0.0818 -0.0774 -0.0818) (1.0000 1.0000 1.0000),A,T5.6 z70-200mm,,,Sony,00011206,MPC-3610,,/Volumes/spf_das_areca/INTERCEPTOR/RUSHES/20210430_SD22/Camera_Media/A045/A045CALK/Clip/A045C005_210430A5,S-Gamut3.Cine/S-Log3,,,,,,,,13:56:46:05,,,A045C005_210430A5.mxf,,1,2500,,1_SGamut3CineSLog3_To_LC-709.cube,1_SGamut3CineSLog3_To_LC-709.cube,,,Unknown,,0,,,045,4096x3024,,82,,005,,0.02002315,,,13:55:09:05,5,Int 1,Int 2,Int 3,Int 4,,,,,,0,4000
,,15:02:40.00,SD22-A2: 84T01,,15:00:57.00,1.0000,(1.0843 1.0799 1.0843) (-0.0438 -0.0393 -0.0438) (1.0000 1.0000 1.0000),A,T2.8 3/4,,,Sony,00011206,MPC-3610,,/Volumes/spf_das_areca/INTERCEPTOR/RUSHES/20210430_SD22/Camera_Media/A045/A045CALK/Clip/A045C006_210430DB,S-Gamut3.Cine/S-Log3,,,,,,,,15:02:37:02,,,A045C006_210430DB.mxf,ND.3,1,2500,,1_SGamut3CineSLog3_To_LC-709.cube,1_SGamut3CineSLog3_To_LC-709.cube,,,Unknown,,0.3,,,045,4096x3024,,84,,006,,0.02002315,,SD22-A2,15:01:00:06,01,Int 1,Int 2,Int 3,Int 4,Mix L,Mix R,BOOM1,BOOM2,,0,4000
,,15:10:27.00,SD22-A2: 84T02,,15:08:24.00,1.0000,(1.0843 1.0799 1.0843) (-0.0438 -0.0393 -0.0438) (1.0000 1.0000 1.0000),A,T2.8 3/4,,,Sony,00011206,MPC-3610,,/Volumes/spf_das_areca/INTERCEPTOR/RUSHES/20210430_SD22/Camera_Media/A045/A045CALK/Clip/A045C007_210430WC,S-Gamut3.Cine/S-Log3,,,,,,,,15:10:26:10,,,A045C007_210430WC.mxf,ND.3,1,2500,,1_SGamut3CineSLog3_To_LC-709.cube,1_SGamut3CineSLog3_To_LC-709.cube,,,Unknown,,0.3,,,045,4096x3024,,84,,007,,0.02002315,,SD22-A2,15:08:29:10,02,Int 1,Int 2,Int 3,Int 4,Mix L,Mix R,BOOM1,BOOM2,,0,4000
,,15:17:47.00,SD22-A2: 84T03,,15:14:15.00,1.0000,(1.0843 1.0799 1.0843) (-0.0438 -0.0393 -0.0438) (1.0000 1.0000 1.0000),A,T2.8 3/4,,,Sony,00011206,MPC-3610,,/Volumes/spf_das_areca/INTERCEPTOR/RUSHES/20210430_SD22/Camera_Media/A045/A045CALK/Clip/A045C008_210430U2,S-Gamut3.Cine/S-Log3,,,,,,,,15:17:43:06,,,A045C008_210430U2.mxf,ND.3,1,2500,,1_SGamut3CineSLog3_To_LC-709.cube,1_SGamut3CineSLog3_To_LC-709.cube,,,Unknown,,0.3,,,045,4096x3024,,84,,008,,0.02002315,,SD22-A2,15:14:18:02,03,Int 1,Int 2,Int 3,Int 4,Mix L,Mix R,BOOM1,BOOM2,,0,4000
,,,,,,1.0000,(1.0843 1.0799 1.0843) (-0.0438 -0.0393 -0.0438) (1.0000 1.0000 1.0000),A,,,,Sony,00011206,MPC-3610,,/Volumes/spf_das_areca/INTERCEPTOR/RUSHES/20210430_SD22/Camera_Media/A045/A045CALK/Clip/A045C009_210430WA,S-Gamut3.Cine/S-Log3,,,,,,,,15:19:17:18,,,A045C009_210430WA.mxf,,0,2500,,1_SGamut3CineSLog3_To_LC-709.cube,1_SGamut3CineSLog3_To_LC-709.cube,,,Unknown,,0.3,,,045,4096x3024,,,,009,,0.02002315,,,15:18:27:06,,Int 1,Int 2,Int 3,Int 4,,,,,,0,4000
,,,,,,1.0000,(1.0843 1.0799 1.0843) (-0.0438 -0.0393 -0.0438) (1.0000 1.0000 1.0000),A,,,,Sony,00011206,MPC-3610,,/Volumes/spf_das_areca/INTERCEPTOR/RUSHES/20210430_SD22/Camera_Media/A045/A045CALK/Clip/A045C010_210430Z0,S-Gamut3.Cine/S-Log3,,,,,,,,15:21:31:10,,,A045C010_210430Z0.mxf,,0,2500,,1_SGamut3CineSLog3_To_LC-709.cube,1_SGamut3CineSLog3_To_LC-709.cube,,,Unknown,,0.3,,,045,4096x3024,,,,010,,0.02002315,,,15:20:00:14,,Int 1,Int 2,Int 3,Int 4,,,,,,0,4000
