2nd Asst,Angle,Audio End TC,Audio Media,Audio Notes,Audio Start TC,CDL SAT,CDL SOP,Camera #,Camera Aperture,Camera Assistant,Camera Firmware,Camera Manufacturer,Camera Serial #,Camera Type,Clip Color,Clip Directory,Color Space Notes,Comments,DOP,Data Wrangler,Description,Digital Technician,Director,Distance,End TC,Episode #,Episode Name,File Name,Filter,Good Take,ISO,Keywords,LUT 1,LUT Used,Lens Notes,Lens Number,Lens Type,Location,ND Filter,Producer,Production Name,Reel Name,Resolution,Reviewed By - Reviewers Notes,Scene,Script Supervisor,Shot,Shot Type,Shutter,Sound Mixer,Soundroll,Start TC,Take,Track 1,Track 2,Track 3,Track 4,Track 5,Track 6,Track 7,Track 8,VFX Notes,White Balance Tint,White Point (Kelvin)
,,08:13:22.00,SD22-A1: 82LT01,,08:12:03.00,1.0000,(1.0692 1.0648 1.0692) (-0.0362 -0.0318 -0.0362) (1.0000 1.0000 1.0000),B,T2.8 3/4,,,Sony,00010306,MPC-3610,,/Volumes/spf_das_areca/INTERCEPTOR/RUSHES/20210430_SD22/Camera_Media/B050/B050CLCF/Clip/B050C001_210430RR,S-Gamut3.Cine/S-Log3,,,,,,,,08:13:22:09,,,B050C001_210430RR.mxf,ND.3,1,2500,,1_SGamut3CineSLog3_To_LC-709.cube,1_SGamut3CineSLog3_To_LC-709.cube,,,Unknown,,0.3,,,050,4096x3024,,82L,,001,,0.02002315,,SD22-A1,08:12:13:05,01,Int 1,Int 2,Int 3,Int 4,Mix L,Mix R,BOOM1,BOOM2,,0,4000
,,08:15:13.00,SD22-A1: 82LT02,,08:13:55.00,1.0000,(1.0692 1.0648 1.0692) (-0.0362 -0.0318 -0.0362) (1.0000 1.0000 1.0000),B,T2.8 3/4,,,Sony,00010306,MPC-3610,,/Volumes/spf_das_areca/INTERCEPTOR/RUSHES/20210430_SD22/Camera_Media/B050/B050CLCF/Clip/B050C002_210430BT,S-Gamut3.Cine/S-Log3,,,,,,,,08:15:04:21,,,B050C002_210430BT.mxf,ND.3,1,2500,,1_SGamut3CineSLog3_To_LC-709.cube,1_SGamut3CineSLog3_To_LC-709.cube,,,Unknown,,0.3,,,050,4096x3024,,82L,,002,,0.02002315,,SD22-A1,08:14:04:01,02,Int 1,Int 2,Int 3,Int 4,Mix L,Mix R,BOOM1,BOOM2,,0,4000
,,08:18:58.00,SD22-A1: 82LT03,,08:16:45.00,1.0000,(1.0692 1.0648 1.0692) (-0.0362 -0.0318 -0.0362) (1.0000 1.0000 1.0000),B,T2.8 3/4,,,Sony,00010306,MPC-3610,,/Volumes/spf_das_areca/INTERCEPTOR/RUSHES/20210430_SD22/Camera_Media/B050/B050CLCF/Clip/B050C003_210430AL,S-Gamut3.Cine/S-Log3,,,,,,,,08:18:48:09,,,B050C003_210430AL.mxf,ND.3,1,2500,,1_SGamut3CineSLog3_To_LC-709.cube,1_SGamut3CineSLog3_To_LC-709.cube,,,Unknown,,0.3,,,050,4096x3024,,82L,,003,,0.02002315,,SD22-A1,08:16:49:21,03,Int 1,Int 2,Int 3,Int 4,Mix L,Mix R,BOOM1,BOOM2,,0,4000
,,10:13:26.00,SD22-A1: 82MT01,,10:12:28.00,1.0000,(1.0692 1.0648 1.0692) (-0.0362 -0.0318 -0.0362) (1.0000 1.0000 1.0000),B,T4,,,Sony,00010306,MPC-3610,,/Volumes/spf_das_areca/INTERCEPTOR/RUSHES/20210430_SD22/Camera_Media/B050/B050CLCF/Clip/B050C004_210430NN,S-Gamut3.Cine/S-Log3,,,,,,,,10:13:29:18,,,B050C004_210430NN.mxf,ND.3,1,2500,,1_SGamut3CineSLog3_To_LC-709.cube,1_SGamut3CineSLog3_To_LC-709.cube,,,Unknown,,0.3,,,050,4096x3024,,82M,,004,,0.02002315,,SD22-A1,10:12:40:06,01,Int 1,Int 2,Int 3,Int 4,Mix L,Mix R,BOOM1,BOOM2,,0,4000
,,10:15:44.00,SD22-A1: 82MT02,,10:14:43.00,1.0000,(1.0692 1.0648 1.0692) (-0.0362 -0.0318 -0.0362) (1.0000 1.0000 1.0000),B,T4,,,Sony,00010306,MPC-3610,,/Volumes/spf_das_areca/INTERCEPTOR/RUSHES/20210430_SD22/Camera_Media/B050/B050CLCF/Clip/B050C005_210430W8,S-Gamut3.Cine/S-Log3,,,,,,,,10:15:34:10,,,B050C005_210430W8.mxf,ND.3,1,2500,,1_SGamut3CineSLog3_To_LC-709.cube,1_SGamut3CineSLog3_To_LC-709.cube,,,Unknown,,0.3,,,050,4096x3024,,82M,,005,,0.02002315,,SD22-A1,10:14:48:10,02,Int 1,Int 2,Int 3,Int 4,Mix L,Mix R,BOOM1,BOOM2,,0,4000
,,10:20:12.00,SD22-A1: 82MT03,,10:18:52.00,1.0000,(1.0692 1.0648 1.0692) (-0.0362 -0.0318 -0.0362) (1.0000 1.0000 1.0000),B,T4,,,Sony,00010306,MPC-3610,,/Volumes/spf_das_areca/INTERCEPTOR/RUSHES/20210430_SD22/Camera_Media/B050/B050CLCF/Clip/B050C006_210430TP,S-Gamut3.Cine/S-Log3,,,,,,,,10:19:45:10,,,B050C006_210430TP.mxf,ND.3,1,2500,,1_SGamut3CineSLog3_To_LC-709.cube,1_SGamut3CineSLog3_To_LC-709.cube,,,Unknown,,0.3,,,050,4096x3024,,82M,,006,,0.02002315,,SD22-A1,10:19:02:06,03,Int 1,Int 2,Int 3,Int 4,Mix L,Mix R,BOOM1,BOOM2,,0,4000
,,10:25:23.00,SD22-A1: 82NT01,,10:24:11.00,1.0000,(1.0692 1.0648 1.0692) (-0.0362 -0.0318 -0.0362) (1.0000 1.0000 1.0000),B,T2.8 3/4,,,Sony,00010306,MPC-3610,,/Volumes/spf_das_areca/INTERCEPTOR/RUSHES/20210430_SD22/Camera_Media/B050/B050CLCF/Clip/B050C007_2104309A,S-Gamut3.Cine/S-Log3,,,,,,,,10:25:17:02,,,B050C007_2104309A.mxf,ND.3,1,2500,,1_SGamut3CineSLog3_To_LC-709.cube,1_SGamut3CineSLog3_To_LC-709.cube,,,Unknown,,0.3,,,050,4096x3024,,82N,,007,,0.02002315,,SD22-A1,10:24:25:14,01,Int 1,Int 2,Int 3,Int 4,Mix L,Mix R,BOOM1,BOOM2,,0,4000
,,,,,,1.0000,(1.0692 1.0648 1.0692) (-0.0362 -0.0318 -0.0362) (1.0000 1.0000 1.0000),B,T2.8 3/4,,,Sony,00010306,MPC-3610,,/Volumes/spf_das_areca/INTERCEPTOR/RUSHES/20210430_SD22/Camera_Media/B050/B050CLCF/Clip/B050C008_21043045,S-Gamut3.Cine/S-Log3,,,,,,,,10:26:38:06,,,B050C008_21043045.mxf,ND.3,1,2500,,1_SGamut3CineSLog3_To_LC-709.cube,1_SGamut3CineSLog3_To_LC-709.cube,,,Unknown,,0.3,,,050,4096x3024,,82,,008,,0.02002315,,,10:26:13:06,2 vfx,Int 1,Int 2,Int 3,Int 4,,,,,,0,4000
,,10:31:17.00,SD22-A1: 82NT02,,10:30:18.00,1.0000,(1.0692 1.0648 1.0692) (-0.0362 -0.0318 -0.0362) (1.0000 1.0000 1.0000),B,T2.8 3/4,,,Sony,00010306,MPC-3610,,/Volumes/spf_das_areca/INTERCEPTOR/RUSHES/20210430_SD22/Camera_Media/B050/B050CLCF/Clip/B050C009_210430WT,S-Gamut3.Cine/S-Log3,,,,,,,,10:31:10:18,,,B050C009_210430WT.mxf,ND.3,1,2500,,1_SGamut3CineSLog3_To_LC-709.cube,1_SGamut3CineSLog3_To_LC-709.cube,,,Unknown,,0.3,,,050,4096x3024,,82N,,009,,0.02002315,,SD22-A1,10:30:25:22,02,Int 1,Int 2,Int 3,Int 4,Mix L,Mix R,BOOM1,BOOM2,,0,4000
,,10:32:20.00,SD22-A1: 82NT03,,10:31:31.00,1.0000,(1.0692 1.0648 1.0692) (-0.0362 -0.0318 -0.0362) (1.0000 1.0000 1.0000),B,T2.8 3/4,,,Sony,00010306,MPC-3610,,/Volumes/spf_das_areca/INTERCEPTOR/RUSHES/20210430_SD22/Camera_Media/B050/B050CLCF/Clip/B050C010_210430B8,S-Gamut3.Cine/S-Log3,,,,,,,,10:32:11:06,,,B050C010_210430B8.mxf,ND.3,1,2500,,1_SGamut3CineSLog3_To_LC-709.cube,1_SGamut3CineSLog3_To_LC-709.cube,,,Unknown,,0.3,,,050,4096x3024,,82N,,010,,0.02002315,,SD22-A1,10:31:37:02,03,Int 1,Int 2,Int 3,Int 4,Mix L,Mix R,BOOM1,BOOM2,,0,4000
