2nd Asst,Angle,Audio End TC,Audio Media,Audio Notes,Audio Start TC,CDL SAT,CDL SOP,Camera #,Camera Aperture,Camera Assistant,Camera Firmware,Camera Manufacturer,Camera Serial #,Camera Type,Clip Color,Clip Directory,Color Space Notes,Comments,DOP,Data Wrangler,Description,Digital Technician,Director,Distance,End TC,Episode #,Episode Name,File Name,Filter,Good Take,ISO,Keywords,LUT 1,LUT Used,Lens Notes,Lens Number,Lens Type,Location,ND Filter,Producer,Production Name,Reel Name,Resolution,Reviewed By - Reviewers Notes,Scene,Script Supervisor,Shot,Shot Type,Shutter,Sound Mixer,Soundroll,Start TC,Take,Track 1,Track 2,Track 3,Track 4,Track 5,Track 6,Track 7,Track 8,VFX Notes,White Balance Tint,White Point (Kelvin)
,,,,,,1.0000,(1.0692 1.0648 1.0692) (-0.0362 -0.0318 -0.0362) (1.0000 1.0000 1.0000),B,T2.8 3/4,,,Sony,00010306,MPC-3610,,/Volumes/spf_das_areca/INTERCEPTOR/RUSHES/20210501_2U_SDX3/Camera_Media/B053/B053C0X0/Clip/B053C001_210501S6,S-Gamut3.Cine/S-Log3,,,,,,,,14:01:06:06,,,B053C001_210501S6.mxf,ND.3,1,2500,,1_SGamut3CineSLog3_To_LC-709.cube,1_SGamut3CineSLog3_To_LC-709.cube,,,Unknown,,0.3,,,053,4096x3024,,X82,,001,,0.02002315,,,14:00:15:02,1,Int 1,Int 2,Int 3,Int 4,,,,,,0,4000
,,,,,,1.0000,(1.0692 1.0648 1.0692) (-0.0362 -0.0318 -0.0362) (1.0000 1.0000 1.0000),B,T2.8 3/4,,,Sony,00010306,MPC-3610,,/Volumes/spf_das_areca/INTERCEPTOR/RUSHES/20210501_2U_SDX3/Camera_Media/B053/B053C0X0/Clip/B053C002_210501FZ,S-Gamut3.Cine/S-Log3,,,,,,,,14:03:01:10,,,B053C002_210501FZ.mxf,ND.3,1,2500,,1_SGamut3CineSLog3_To_LC-709.cube,1_SGamut3CineSLog3_To_LC-709.cube,,,Unknown,,0.3,,,053,4096x3024,,X82,,002,,0.02002315,,,14:01:37:14,2,Int 1,Int 2,Int 3,Int 4,,,,,,0,4000
,,,,,,1.0000,(1.0692 1.0648 1.0692) (-0.0362 -0.0318 -0.0362) (1.0000 1.0000 1.0000),B,T2.8 3/4,,,Sony,00010306,MPC-3610,,/Volumes/spf_das_areca/INTERCEPTOR/RUSHES/20210501_2U_SDX3/Camera_Media/B053/B053C0X0/Clip/B053C003_210501M5,S-Gamut3.Cine/S-Log3,,,,,,,,14:07:18:06,,,B053C003_210501M5.mxf,ND.3,1,2500,,1_SGamut3CineSLog3_To_LC-709.cube,1_SGamut3CineSLog3_To_LC-709.cube,,,Unknown,,0.3,,,053,4096x3024,,X82,,003,,0.02002315,,,14:06:02:02,3,Int 1,Int 2,Int 3,Int 4,,,,,,0,4000
,,,,,,1.0000,(1.0692 1.0648 1.0692) (-0.0362 -0.0318 -0.0362) (1.0000 1.0000 1.0000),B,T2.8 3/4,,,Sony,00010306,MPC-3610,,/Volumes/spf_das_areca/INTERCEPTOR/RUSHES/20210501_2U_SDX3/Camera_Media/B053/B053C0X0/Clip/B053C004_210501TD,S-Gamut3.Cine/S-Log3,,,,,,,,14:28:34:23,,,B053C004_210501TD.mxf,ND.3,1,2500,,1_SGamut3CineSLog3_To_LC-709.cube,1_SGamut3CineSLog3_To_LC-709.cube,,,Unknown,,0.3,,,053,4096x3024,,X82,,004,,0.02089372,,,14:27:26:19,1,Int 1,Int 2,Int 3,Int 4,,,,,,0,4000
,,,,,,1.0000,(1.0692 1.0648 1.0692) (-0.0362 -0.0318 -0.0362) (1.0000 1.0000 1.0000),B,T2.8 3/4,,,Sony,00010306,MPC-3610,,/Volumes/spf_das_areca/INTERCEPTOR/RUSHES/20210501_2U_SDX3/Camera_Media/B053/B053C0X0/Clip/B053C005_210501IE,S-Gamut3.Cine/S-Log3,,,,,,,,14:29:11:11,,,B053C005_210501IE.mxf,ND.3,1,2500,,1_SGamut3CineSLog3_To_LC-709.cube,1_SGamut3CineSLog3_To_LC-709.cube,,,Unknown,,0.3,,,053,4096x3024,,X82,,005,,0.02089372,,,14:28:34:23,2,Int 1,Int 2,Int 3,Int 4,,,,,,0,4000
,,,,,,1.0000,(1.0692 1.0648 1.0692) (-0.0362 -0.0318 -0.0362) (1.0000 1.0000 1.0000),B,,,,Sony,00010306,MPC-3610,,/Volumes/spf_das_areca/INTERCEPTOR/RUSHES/20210501_2U_SDX3/Camera_Media/B053/B053C0X0/Clip/B053C006_210501GG,S-Gamut3.Cine/S-Log3,,,,,,,,14:29:40:15,,,B053C006_210501GG.mxf,,0,2500,,1_SGamut3CineSLog3_To_LC-709.cube,1_SGamut3CineSLog3_To_LC-709.cube,,,Unknown,,0.3,,,053,4096x3024,,,,006,,0.02089372,,,14:29:11:11,,Int 1,Int 2,Int 3,Int 4,,,,,,0,4000
,,,,,,1.0000,(1.0692 1.0648 1.0692) (-0.0362 -0.0318 -0.0362) (1.0000 1.0000 1.0000),B,T2.8 3/4,,,Sony,00010306,MPC-3610,,/Volumes/spf_das_areca/INTERCEPTOR/RUSHES/20210501_2U_SDX3/Camera_Media/B053/B053C0X0/Clip/B053C007_210501W1,S-Gamut3.Cine/S-Log3,,,,,,,,14:30:25:07,,,B053C007_210501W1.mxf,ND.3,1,2500,,1_SGamut3CineSLog3_To_LC-709.cube,1_SGamut3CineSLog3_To_LC-709.cube,,,Unknown,,0.3,,,053,4096x3024,,X82,,007,,0.02089372,,,14:29:40:15,4,Int 1,Int 2,Int 3,Int 4,,,,,,0,4000
,,,,,,1.0000,(1.0692 1.0648 1.0692) (-0.0362 -0.0318 -0.0362) (1.0000 1.0000 1.0000),B,T2.8 3/4,,,Sony,00010306,MPC-3610,,/Volumes/spf_das_areca/INTERCEPTOR/RUSHES/20210501_2U_SDX3/Camera_Media/B053/B053C0X0/Clip/B053C008_210501VR,S-Gamut3.Cine/S-Log3,,,,,,,,14:30:52:23,,,B053C008_210501VR.mxf,ND.3,1,2500,,1_SGamut3CineSLog3_To_LC-709.cube,1_SGamut3CineSLog3_To_LC-709.cube,,,Unknown,,0.3,,,053,4096x3024,,X82,,008,,0.02089372,,,14:30:25:07,5,Int 1,Int 2,Int 3,Int 4,,,,,,0,4000
,,,,,,1.0000,(1.0692 1.0648 1.0692) (-0.0362 -0.0318 -0.0362) (1.0000 1.0000 1.0000),B,,,,Sony,00010306,MPC-3610,,/Volumes/spf_das_areca/INTERCEPTOR/RUSHES/20210501_2U_SDX3/Camera_Media/B053/B053C0X0/Clip/B053C009_210501BV,S-Gamut3.Cine/S-Log3,,,,,,,,14:30:54:15,,,B053C009_210501BV.mxf,,0,2500,,1_SGamut3CineSLog3_To_LC-709.cube,1_SGamut3CineSLog3_To_LC-709.cube,,,Unknown,,0.3,,,053,4096x3024,,,,009,,0.02089372,,,14:30:52:23,,Int 1,Int 2,Int 3,Int 4,,,,,,0,4000
,,,,,,1.0000,(1.0692 1.0648 1.0692) (-0.0362 -0.0318 -0.0362) (1.0000 1.0000 1.0000),B,T2.8 3/4,,,Sony,00010306,MPC-3610,,/Volumes/spf_das_areca/INTERCEPTOR/RUSHES/20210501_2U_SDX3/Camera_Media/B053/B053C0X0/Clip/B053C010_210501KS,S-Gamut3.Cine/S-Log3,,,,,,,,15:15:15:06,,,B053C010_210501KS.mxf,ND.3,1,2500,,1_SGamut3CineSLog3_To_LC-709.cube,1_SGamut3CineSLog3_To_LC-709.cube,,,Unknown,,0.3,,,053,4096x3024,,X82,,010,,0.02002315,,,15:14:18:18,1,Int 1,Int 2,Int 3,Int 4,,,,,,0,4000
