2nd Asst,Angle,Audio End TC,Audio Media,Audio Notes,Audio Start TC,CDL SAT,CDL SOP,Camera #,Camera Aperture,Camera Assistant,Camera Firmware,Camera Manufacturer,Camera Serial #,Camera Type,Clip Color,Clip Directory,Color Space Notes,Comments,DOP,Data Wrangler,Description,Digital Technician,Director,Distance,End TC,Episode #,Episode Name,File Name,Filter,Good Take,ISO,Keywords,LUT 1,LUT Used,Lens Notes,Lens Number,Lens Type,Location,ND Filter,Producer,Production Name,Reel Name,Resolution,Reviewed By - Reviewers Notes,Scene,Script Supervisor,Shot,Shot Type,Shutter,Sound Mixer,Soundroll,Start TC,Take,Track 1,Track 2,Track 3,Track 4,Track 5,Track 6,Track 7,Track 8,VFX Notes,White Balance Tint,White Point (Kelvin)
,,10:47:41.00,21Y05M07: X157T01,,10:46:02.00,1.0000,(1.2272 1.0668 0.9782) (-0.1006 -0.0389 0.0269) (1.0073 0.9903 1.0747),J,T4 1/4,,,Sony,00010640,MPC-3610,,/Volumes/spf_das_areca/INTERCEPTOR/RUSHES/20210507_2U_SDX4/Camera_Media/J001/J001CA12/Clip/J001C001_210505DS,S-Gamut3.Cine/S-Log3,,,,,,,,10:46:55:01,,,J001C001_210505DS.mxf,ND .6,1,500,,1_SGamut3CineSLog3_To_LC-709.cube,1_SGamut3CineSLog3_To_LC-709.cube,,,Unknown,,0.6,,,001,4096x3024,,X157,,001,,0.02002315,,21Y05M07,10:46:04:09,01,Int 1,Int 2,Int 3,Int 4,MixL,MixR,BOOM1,BOOM2,,0,5600
,,10:48:46.00,21Y05M07: X157T02,,10:47:41.00,1.0000,(1.2272 1.0668 0.9782) (-0.1006 -0.0389 0.0269) (1.0073 0.9903 1.0747),J,T4 1/4,,,Sony,00010640,MPC-3610,,/Volumes/spf_das_areca/INTERCEPTOR/RUSHES/20210507_2U_SDX4/Camera_Media/J001/J001CA12/Clip/J001C002_21050564,S-Gamut3.Cine/S-Log3,,,,,,,,10:48:05:01,,,J001C002_21050564.mxf,ND .6,1,500,,1_SGamut3CineSLog3_To_LC-709.cube,1_SGamut3CineSLog3_To_LC-709.cube,,,Unknown,,0.6,,,001,4096x3024,,X157,,002,,0.02002315,,21Y05M07,10:47:36:17,02,Int 1,Int 2,Int 3,Int 4,MixL,MixR,BOOM1,BOOM2,,0,5600
,,10:49:44.00,21Y05M07: X157T03,,10:48:46.00,1.0000,(1.2272 1.0668 0.9782) (-0.1006 -0.0389 0.0269) (1.0073 0.9903 1.0747),J,T4 1/4,,,Sony,00010640,MPC-3610,,/Volumes/spf_das_areca/INTERCEPTOR/RUSHES/20210507_2U_SDX4/Camera_Media/J001/J001CA12/Clip/J001C003_210505EU,S-Gamut3.Cine/S-Log3,,,,,,,,10:49:35:21,,,J001C003_210505EU.mxf,ND .6,1,500,,1_SGamut3CineSLog3_To_LC-709.cube,1_SGamut3CineSLog3_To_LC-709.cube,,,Unknown,,0.6,,,001,4096x3024,,X157,,003,,0.02002315,,21Y05M07,10:48:42:09,03,Int 1,Int 2,Int 3,Int 4,MixL,MixR,BOOM1,BOOM2,,0,5600
,,,,,,1.0000,(1.2272 1.0668 0.9782) (-0.1006 -0.0389 0.0269) (1.0073 0.9903 1.0747),J,T4 1/4,,,Sony,00010640,MPC-3610,,/Volumes/spf_das_areca/INTERCEPTOR/RUSHES/20210507_2U_SDX4/Camera_Media/J001/J001CA12/Clip/J001C004_2105058X,S-Gamut3.Cine/S-Log3,,,,,,,,10:50:09:09,,,J001C004_2105058X.mxf,ND .6,1,500,,1_SGamut3CineSLog3_To_LC-709.cube,1_SGamut3CineSLog3_To_LC-709.cube,,,Unknown,,0.6,,,001,4096x3024,,X157,,004,,0.02002315,,,10:49:51:13,4 vfx,Int 1,Int 2,Int 3,Int 4,,,,,,0,5600
,,10:58:32.00,21Y05M07: X157AT01,,10:56:50.00,1.0000,(1.2272 1.0668 0.9782) (-0.1006 -0.0389 0.0269) (1.0073 0.9903 1.0747),J,T4,,,Sony,00010640,MPC-3610,,/Volumes/spf_das_areca/INTERCEPTOR/RUSHES/20210507_2U_SDX4/Camera_Media/J001/J001CA12/Clip/J001C005_21050532,S-Gamut3.Cine/S-Log3,,,,,,,,10:58:06:21,,,J001C005_21050532.mxf,,1,500,,1_SGamut3CineSLog3_To_LC-709.cube,1_SGamut3CineSLog3_To_LC-709.cube,,,Unknown,,0.6,,,001,4096x3024,,X157A,,005,,0.02002315,,21Y05M07,10:56:52:21,01,Int 1,Int 2,Int 3,Int 4,MixL,MixR,BOOM1,BOOM2,,0,5600
,,,,,,1.0000,(1.2272 1.0668 0.9782) (-0.1006 -0.0389 0.0269) (1.0073 0.9903 1.0747),J,T5.6 2/3,,,Sony,00010640,MPC-3610,,/Volumes/spf_das_areca/INTERCEPTOR/RUSHES/20210507_2U_SDX4/Camera_Media/J001/J001CA12/Clip/J001C006_210505LJ,S-Gamut3.Cine/S-Log3,,,,,,,,11:17:16:03,,,J001C006_210505LJ.mxf,,1,500,,1_SGamut3CineSLog3_To_LC-709.cube,1_SGamut3CineSLog3_To_LC-709.cube,,,Unknown,,0,,,001,4096x2160,,X157,,006,,0.005005787,,,11:11:02:23,1,Int 1,Int 2,Int 3,Int 4,,,,,,0,5600
,,,,,,1.0000,(1.2272 1.0668 0.9782) (-0.1006 -0.0389 0.0269) (1.0073 0.9903 1.0747),J,T5.6 1/3,,,Sony,00010640,MPC-3610,,/Volumes/spf_das_areca/INTERCEPTOR/RUSHES/20210507_2U_SDX4/Camera_Media/J001/J001CA12/Clip/J001C007_210505CQ,S-Gamut3.Cine/S-Log3,,,,,,,,11:21:01:11,,,J001C007_210505CQ.mxf,,1,500,,1_SGamut3CineSLog3_To_LC-709.cube,1_SGamut3CineSLog3_To_LC-709.cube,,,Unknown,,0,,,001,4096x2160,,X157,,007,,0.005005787,,,11:17:16:03,2,Int 1,Int 2,Int 3,Int 4,,,,,,0,5600
,,,,,,1.0000,(1.2272 1.0668 0.9782) (-0.1006 -0.0389 0.0269) (1.0073 0.9903 1.0747),J,T8 ,,,Sony,00010640,MPC-3610,,/Volumes/spf_das_areca/INTERCEPTOR/RUSHES/20210507_2U_SDX4/Camera_Media/J001/J001CA12/Clip/J001C008_210505HN,S-Gamut3.Cine/S-Log3,,,,,,,,11:23:53:11,,,J001C008_210505HN.mxf,,1,500,,1_SGamut3CineSLog3_To_LC-709.cube,1_SGamut3CineSLog3_To_LC-709.cube,,,Unknown,,0,,,001,4096x2160,,X157,,008,,0.005005787,,,11:21:01:11,3,Int 1,Int 2,Int 3,Int 4,,,,,,0,5600
,,,,,,1.0000,(1.2272 1.0668 0.9782) (-0.1006 -0.0389 0.0269) (1.0073 0.9903 1.0747),J,T5.6 2/3,,,Sony,00010640,MPC-3610,,/Volumes/spf_das_areca/INTERCEPTOR/RUSHES/20210507_2U_SDX4/Camera_Media/J001/J001CA12/Clip/J001C009_210505ZS,S-Gamut3.Cine/S-Log3,,,,,,,,11:26:31:15,,,J001C009_210505ZS.mxf,,1,500,,1_SGamut3CineSLog3_To_LC-709.cube,1_SGamut3CineSLog3_To_LC-709.cube,,,Unknown,,0,,,001,4096x2160,,X157,,009,,0.005005787,,,11:23:53:11,4,Int 1,Int 2,Int 3,Int 4,,,,,,0,5600
,,,,,,1.0000,(1.2272 1.0668 0.9782) (-0.1006 -0.0389 0.0269) (1.0073 0.9903 1.0747),J,T5.6 2/3,,,Sony,00010640,MPC-3610,,/Volumes/spf_das_areca/INTERCEPTOR/RUSHES/20210507_2U_SDX4/Camera_Media/J001/J001CA12/Clip/J001C010_210505VB,S-Gamut3.Cine/S-Log3,,,,,,,,11:28:48:15,,,J001C010_210505VB.mxf,,1,500,,1_SGamut3CineSLog3_To_LC-709.cube,1_SGamut3CineSLog3_To_LC-709.cube,,,Unknown,,0,,,001,4096x2160,,X157,,010,,0.005005787,,,11:26:31:15,5,Int 1,Int 2,Int 3,Int 4,,,,,,0,5600
,,,,,,1.0000,(1.2272 1.0668 0.9782) (-0.1006 -0.0389 0.0269) (1.0073 0.9903 1.0747),J,T5.6 2/3,,,Sony,00010640,MPC-3610,,/Volumes/spf_das_areca/INTERCEPTOR/RUSHES/20210507_2U_SDX4/Camera_Media/J001/J001CA12/Clip/J001C011_210505TR,S-Gamut3.Cine/S-Log3,,,,,,,,11:29:57:11,,,J001C011_210505TR.mxf,ND. 3,1,500,,1_SGamut3CineSLog3_To_LC-709.cube,1_SGamut3CineSLog3_To_LC-709.cube,,,Unknown,,0.3,,,001,4096x2160,,X155,,011,,0.01001157,,,11:28:48:15,1,Int 1,Int 2,Int 3,Int 4,,,,,,0,5600
,,,,,,1.0000,(1.2272 1.0668 0.9782) (-0.1006 -0.0389 0.0269) (1.0073 0.9903 1.0747),J,T5.6 1/3,,,Sony,00010640,MPC-3610,,/Volumes/spf_das_areca/INTERCEPTOR/RUSHES/20210507_2U_SDX4/Camera_Media/J001/J001CA12/Clip/J001C012_2105051G,S-Gamut3.Cine/S-Log3,,,,,,,,11:31:15:11,,,J001C012_2105051G.mxf,ND. 3,1,500,,1_SGamut3CineSLog3_To_LC-709.cube,1_SGamut3CineSLog3_To_LC-709.cube,,,Unknown,,0.3,,,001,4096x2160,,X155,,012,,0.01001157,,,11:29:57:11,2,Int 1,Int 2,Int 3,Int 4,,,,,,0,5600
,,,,,,1.0000,(1.2272 1.0668 0.9782) (-0.1006 -0.0389 0.0269) (1.0073 0.9903 1.0747),J,T5.6 1/3,,,Sony,00010640,MPC-3610,,/Volumes/spf_das_areca/INTERCEPTOR/RUSHES/20210507_2U_SDX4/Camera_Media/J001/J001CA12/Clip/J001C013_210505SM,S-Gamut3.Cine/S-Log3,,,,,,,,11:32:14:11,,,J001C013_210505SM.mxf,ND. 3,1,500,,1_SGamut3CineSLog3_To_LC-709.cube,1_SGamut3CineSLog3_To_LC-709.cube,,,Unknown,,0.3,,,001,4096x2160,,X155,,013,,0.01001157,,,11:31:15:11,3,Int 1,Int 2,Int 3,Int 4,,,,,,0,5600
,,,,,,1.0000,(1.2272 1.0668 0.9782) (-0.1006 -0.0389 0.0269) (1.0073 0.9903 1.0747),J,T5.6 1/3,,,Sony,00010640,MPC-3610,,/Volumes/spf_das_areca/INTERCEPTOR/RUSHES/20210507_2U_SDX4/Camera_Media/J001/J001CA12/Clip/J001C014_21050551,S-Gamut3.Cine/S-Log3,,,,,,,,11:33:05:03,,,J001C014_21050551.mxf,ND. 3,1,500,,1_SGamut3CineSLog3_To_LC-709.cube,1_SGamut3CineSLog3_To_LC-709.cube,,,Unknown,,0.3,,,001,4096x2160,,X155,,014,,0.01001157,,,11:32:14:11,4,Int 1,Int 2,Int 3,Int 4,,,,,,0,5600
