2nd Asst,Angle,Audio End TC,Audio Media,Audio Notes,Audio Start TC,CDL SAT,CDL SOP,Camera #,Camera Aperture,Camera Assistant,Camera Firmware,Camera Manufacturer,Camera Serial #,Camera Type,Clip Color,Clip Directory,Color Space Notes,Comments,DOP,Data Wrangler,Description,Digital Technician,Director,Distance,End TC,Episode #,Episode Name,File Name,Filter,Good Take,ISO,Keywords,LUT 1,LUT Used,Lens Notes,Lens Number,Lens Type,Location,ND Filter,Producer,Production Name,Reel Name,Resolution,Reviewed By - Reviewers Notes,Scene,Script Supervisor,Shot,Shot Type,Shutter,Sound Mixer,Soundroll,Start TC,Take,Track 1,Track 2,Track 3,Track 4,Track 5,Track 6,Track 7,Track 8,VFX Notes,White Balance Tint,White Point (Kelvin)
,,,,,,1.0000,(1.0856 1.0812 1.0856) (-0.0444 -0.0400 -0.0444) (1.0000 1.0000 1.0000),2,,,6.9.1,Blackmagic Design,,Blackmagic Pocket Cinema Camera 6K,,/Volumes/spf_das_areca/INTERCEPTOR/RUSHES/20210510_SD28/Camera_Media/E027,,,,,,,,,13:43:16:00,,,2027_05101343_C001.braw,,0,1250,,Seb_BMDWGGen4-Pocket6KFilmGen4_to_SG3CineSLog3_33pt.cube1_SGamut3CineSLog3_To_LC-709.cube,Seb_BMDWGGen4-Pocket6KFilmGen4_to_SG3CineSLog3_33pt.cube1_SGamut3CineSLog3_To_LC-709.cube,,,,,0,,,27,6144x3456,,1,,,day interior,0.02,,,13:43:14:16,26,Int 1,Int 2,,,,,,,,0,4000
,,,,,,1.0000,(1.0856 1.0812 1.0856) (-0.0444 -0.0400 -0.0444) (1.0000 1.0000 1.0000),E,,,6.9.1,Blackmagic Design,,Blackmagic Pocket Cinema Camera 6K,,/Volumes/spf_das_areca/INTERCEPTOR/RUSHES/20210510_SD28/Camera_Media/E027,,,,,,,,,13:43:45:08,,,2027_05101343_C002.braw,,0,1250,,Seb_BMDWGGen4-Pocket6KFilmGen4_to_SG3CineSLog3_33pt.cube1_SGamut3CineSLog3_To_LC-709.cube,Seb_BMDWGGen4-Pocket6KFilmGen4_to_SG3CineSLog3_33pt.cube1_SGamut3CineSLog3_To_LC-709.cube,,,,,0,,,27,6144x3456,,1,,,day interior,0.02,,,13:43:42:15,27,Int 1,Int 2,,,,,,,,0,4000
,,,,,,1.0000,(1.0856 1.0812 1.0856) (-0.0444 -0.0400 -0.0444) (1.0000 1.0000 1.0000),2,,,6.9.1,Blackmagic Design,,Blackmagic Pocket Cinema Camera 6K,,/Volumes/spf_das_areca/INTERCEPTOR/RUSHES/20210510_SD28/Camera_Media/E027,,,,,,,,,14:00:57:02,,,2027_05101359_C003.braw,,0,1250,,Seb_BMDWGGen4-Pocket6KFilmGen4_to_SG3CineSLog3_33pt.cube1_SGamut3CineSLog3_To_LC-709.cube,Seb_BMDWGGen4-Pocket6KFilmGen4_to_SG3CineSLog3_33pt.cube1_SGamut3CineSLog3_To_LC-709.cube,,,,,0,,,27,6144x3456,,1,,,day interior,0.02,,,13:59:49:17,28,Int 1,Int 2,,,,,,,,0,4000
,,,,,,1.0000,(1.0856 1.0812 1.0856) (-0.0444 -0.0400 -0.0444) (1.0000 1.0000 1.0000),2,,,6.9.1,Blackmagic Design,,Blackmagic Pocket Cinema Camera 6K,,/Volumes/spf_das_areca/INTERCEPTOR/RUSHES/20210510_SD28/Camera_Media/E027,,,,,,,,,14:02:33:07,,,2027_05101401_C004.braw,,0,1250,,Seb_BMDWGGen4-Pocket6KFilmGen4_to_SG3CineSLog3_33pt.cube1_SGamut3CineSLog3_To_LC-709.cube,Seb_BMDWGGen4-Pocket6KFilmGen4_to_SG3CineSLog3_33pt.cube1_SGamut3CineSLog3_To_LC-709.cube,,,,,0,,,27,6144x3456,,1,,,day interior,0.02,,,14:01:27:00,29,Int 1,Int 2,,,,,,,,0,4000
,,,,,,1.0000,(1.0856 1.0812 1.0856) (-0.0444 -0.0400 -0.0444) (1.0000 1.0000 1.0000),2,,,6.9.1,Blackmagic Design,,Blackmagic Pocket Cinema Camera 6K,,/Volumes/spf_das_areca/INTERCEPTOR/RUSHES/20210510_SD28/Camera_Media/E027,,,,,,,,,14:04:59:16,,,2027_05101404_C005.braw,,0,1250,,Seb_BMDWGGen4-Pocket6KFilmGen4_to_SG3CineSLog3_33pt.cube1_SGamut3CineSLog3_To_LC-709.cube,Seb_BMDWGGen4-Pocket6KFilmGen4_to_SG3CineSLog3_33pt.cube1_SGamut3CineSLog3_To_LC-709.cube,,,,,0,,,27,6144x3456,,1,,,day interior,0.02,,,14:04:01:13,30,Int 1,Int 2,,,,,,,,0,4000
,,,,,,1.0000,(1.0856 1.0812 1.0856) (-0.0444 -0.0400 -0.0444) (1.0000 1.0000 1.0000),2,,,6.9.1,Blackmagic Design,,Blackmagic Pocket Cinema Camera 6K,,/Volumes/spf_das_areca/INTERCEPTOR/RUSHES/20210510_SD28/Camera_Media/E027,,,,,,,,,14:07:15:10,,,2027_05101405_C006.braw,,0,1250,,Seb_BMDWGGen4-Pocket6KFilmGen4_to_SG3CineSLog3_33pt.cube1_SGamut3CineSLog3_To_LC-709.cube,Seb_BMDWGGen4-Pocket6KFilmGen4_to_SG3CineSLog3_33pt.cube1_SGamut3CineSLog3_To_LC-709.cube,,,,,0,,,27,6144x3456,,1,,,day interior,0.02,,,14:05:46:14,31,Int 1,Int 2,,,,,,,,0,4000
,,,,,,1.0000,(1.0856 1.0812 1.0856) (-0.0444 -0.0400 -0.0444) (1.0000 1.0000 1.0000),2,,,6.9.1,Blackmagic Design,,Blackmagic Pocket Cinema Camera 6K,,/Volumes/spf_das_areca/INTERCEPTOR/RUSHES/20210510_SD28/Camera_Media/E027,,,,,,,,,14:09:19:23,,,2027_05101408_C007.braw,,0,1250,,Seb_BMDWGGen4-Pocket6KFilmGen4_to_SG3CineSLog3_33pt.cube1_SGamut3CineSLog3_To_LC-709.cube,Seb_BMDWGGen4-Pocket6KFilmGen4_to_SG3CineSLog3_33pt.cube1_SGamut3CineSLog3_To_LC-709.cube,,,,,0,,,27,6144x3456,,1,,,day interior,0.02,,,14:08:28:14,32,Int 1,Int 2,,,,,,,,0,4000
,,,,,,1.0000,(1.0856 1.0812 1.0856) (-0.0444 -0.0400 -0.0444) (1.0000 1.0000 1.0000),2,,,6.9.1,Blackmagic Design,,Blackmagic Pocket Cinema Camera 6K,,/Volumes/spf_das_areca/INTERCEPTOR/RUSHES/20210510_SD28/Camera_Media/E027,,,,,,,,,14:10:59:01,,,2027_05101410_C008.braw,,0,1250,,Seb_BMDWGGen4-Pocket6KFilmGen4_to_SG3CineSLog3_33pt.cube1_SGamut3CineSLog3_To_LC-709.cube,Seb_BMDWGGen4-Pocket6KFilmGen4_to_SG3CineSLog3_33pt.cube1_SGamut3CineSLog3_To_LC-709.cube,,,,,0,,,27,6144x3456,,1,,,day interior,0.02,,,14:10:01:16,33,Int 1,Int 2,,,,,,,,0,4000
,,,,,,1.0000,(1.0856 1.0812 1.0856) (-0.0444 -0.0400 -0.0444) (1.0000 1.0000 1.0000),2,,,6.9.1,Blackmagic Design,,Blackmagic Pocket Cinema Camera 6K,,/Volumes/spf_das_areca/INTERCEPTOR/RUSHES/20210510_SD28/Camera_Media/E027,,,,,,,,,14:51:48:21,,,2027_05101451_C009.braw,,0,1250,,Seb_BMDWGGen4-Pocket6KFilmGen4_to_SG3CineSLog3_33pt.cube1_SGamut3CineSLog3_To_LC-709.cube,Seb_BMDWGGen4-Pocket6KFilmGen4_to_SG3CineSLog3_33pt.cube1_SGamut3CineSLog3_To_LC-709.cube,,,,,0,,,27,6144x3456,,1,,,day interior,0.02,,,14:51:46:00,34,Int 1,Int 2,,,,,,,,0,4000
,,,,,,1.0000,(1.0856 1.0812 1.0856) (-0.0444 -0.0400 -0.0444) (1.0000 1.0000 1.0000),2,,,6.9.1,Blackmagic Design,,Blackmagic Pocket Cinema Camera 6K,,/Volumes/spf_das_areca/INTERCEPTOR/RUSHES/20210510_SD28/Camera_Media/E027,,,,,,,,,14:58:45:20,,,2027_05101456_C010.braw,,0,1250,,Seb_BMDWGGen4-Pocket6KFilmGen4_to_SG3CineSLog3_33pt.cube1_SGamut3CineSLog3_To_LC-709.cube,Seb_BMDWGGen4-Pocket6KFilmGen4_to_SG3CineSLog3_33pt.cube1_SGamut3CineSLog3_To_LC-709.cube,,,,,0,,,27,6144x3456,,1,,,day interior,0.02,,,14:56:58:01,35,Int 1,Int 2,,,,,,,,0,4000
