2nd Asst,Angle,Audio End TC,Audio Media,Audio Notes,Audio Start TC,CDL SAT,CDL SOP,Camera #,Camera Aperture,Camera Assistant,Camera Firmware,Camera Manufacturer,Camera Serial #,Camera Type,Clip Color,Clip Directory,Color Space Notes,Comments,DOP,Data Wrangler,Description,Digital Technician,Director,Distance,End TC,Episode #,Episode Name,File Name,Filter,Good Take,ISO,Keywords,LUT 1,LUT Used,Lens Notes,Lens Number,Lens Type,Location,ND Filter,Producer,Production Name,Reel Name,Resolution,Reviewed By - Reviewers Notes,Scene,Script Supervisor,Shot,Shot Type,Shutter,Sound Mixer,Soundroll,Start TC,Take,Track 1,Track 2,Track 3,Track 4,Track 5,Track 6,Track 7,Track 8,VFX Notes,White Balance Tint,White Point (Kelvin)
,,12:18:52.00,SD30-A2: 184GT01,,12:17:50.00,1.0000,(1.3176 1.1391 1.0470) (-0.1386 -0.0768 -0.0110) (0.9974 0.9907 1.0997),F,T4,,,Sony,00010694,MPC-3610,,/Volumes/spf_das_areca/INTERCEPTOR/RUSHES/20210512_SD30/Camera_Media/F022/F022CNOW/Clip/F022C001_210512O9,S-Gamut3.Cine/S-Log3,,,,,,,,12:18:41:11,,,F022C001_210512O9.mxf,ND1.2,1,500,,1_SGamut3CineSLog3_To_LC-709.cube,1_SGamut3CineSLog3_To_LC-709.cube,,,Unknown,,1.2,,,022,4096x3024,,184G,,001,,0.02002315,,SD30-A2,12:17:56:15,01,Int 1,Int 2,Int 3,Int 4,Mix L,Mix R,BOOM1,BOOM2,,0,5600
,,12:20:49.00,SD30-A2: @184GT02,,12:19:48.00,1.0000,(1.3176 1.1391 1.0470) (-0.1386 -0.0768 -0.0110) (0.9974 0.9907 1.0997),F,T4,,,Sony,00010694,MPC-3610,,/Volumes/spf_das_areca/INTERCEPTOR/RUSHES/20210512_SD30/Camera_Media/F022/F022CNOW/Clip/F022C002_210512B3,S-Gamut3.Cine/S-Log3,,,,,,,,12:20:42:19,,,F022C002_210512B3.mxf,ND1.2,1,500,,1_SGamut3CineSLog3_To_LC-709.cube,1_SGamut3CineSLog3_To_LC-709.cube,,,Unknown,,1.2,,,022,4096x3024,,184G,,002,,0.02002315,,SD30-A2,12:19:58:23,02,Int 1,Int 2,Int 3,Int 4,Mix L,Mix R,BOOM1,BOOM2,,0,5600
,,12:23:42.00,SD30-A2: 184GT03,,12:22:43.00,1.0000,(1.3176 1.1391 1.0470) (-0.1342 -0.0785 -0.0079) (0.9974 0.9907 1.0997),F,T4,,,Sony,00010694,MPC-3610,,/Volumes/spf_das_areca/INTERCEPTOR/RUSHES/20210512_SD30/Camera_Media/F022/F022CNOW/Clip/F022C003_210512SJ,S-Gamut3.Cine/S-Log3,,,,,,,,12:23:36:03,,,F022C003_210512SJ.mxf,ND1.2,1,500,,1_SGamut3CineSLog3_To_LC-709.cube,1_SGamut3CineSLog3_To_LC-709.cube,,,Unknown,,1.2,,,022,4096x3024,,184G,,003,,0.02002315,,SD30-A2,12:22:55:19,03,Int 1,Int 2,Int 3,Int 4,Mix L,Mix R,BOOM1,BOOM2,,0,5600
,,12:41:03.00,SD30-A2: 184HT01,,12:39:27.00,1.0000,(1.3176 1.1391 1.0470) (-0.1342 -0.0785 -0.0079) (0.9974 0.9907 1.0997),F,T4,,,Sony,00010694,MPC-3610,,/Volumes/spf_das_areca/INTERCEPTOR/RUSHES/20210512_SD30/Camera_Media/F022/F022CNOW/Clip/F022C004_210512J9,S-Gamut3.Cine/S-Log3,,,,,,,,12:40:53:19,,,F022C004_210512J9.mxf,ND1.2,1,500,,1_SGamut3CineSLog3_To_LC-709.cube,1_SGamut3CineSLog3_To_LC-709.cube,,,Unknown,,1.2,,,022,4096x3024,,184H,,004,,0.02002315,,SD30-A2,12:39:39:23,01,Int 1,Int 2,Int 3,Int 4,Mix L,Mix R,BOOM1,BOOM2,,0,5600
,,12:42:30.00,SD30-A2: 184HT02,,12:41:27.00,1.0000,(1.3176 1.1391 1.0470) (-0.1342 -0.0785 -0.0079) (0.9974 0.9907 1.0997),F,T4,,,Sony,00010694,MPC-3610,,/Volumes/spf_das_areca/INTERCEPTOR/RUSHES/20210512_SD30/Camera_Media/F022/F022CNOW/Clip/F022C005_210512KG,S-Gamut3.Cine/S-Log3,,,,,,,,12:42:17:23,,,F022C005_210512KG.mxf,ND1.2,1,500,,1_SGamut3CineSLog3_To_LC-709.cube,1_SGamut3CineSLog3_To_LC-709.cube,,,Unknown,,1.2,,,022,4096x3024,,184H,,005,,0.02002315,,SD30-A2,12:41:37:03,02,Int 1,Int 2,Int 3,Int 4,Mix L,Mix R,BOOM1,BOOM2,,0,5600
,,13:03:16.00,SD30-A2: 184JT01,,13:01:36.00,1.0000,(1.3176 1.1391 1.0470) (-0.1342 -0.0785 -0.0079) (0.9974 0.9907 1.0997),F,T4,,,Sony,00010694,MPC-3610,,/Volumes/spf_das_areca/INTERCEPTOR/RUSHES/20210512_SD30/Camera_Media/F022/F022CNOW/Clip/F022C006_210512U9,S-Gamut3.Cine/S-Log3,,,,,,,,13:02:07:03,,,F022C006_210512U9.mxf,ND1.2,1,500,,1_SGamut3CineSLog3_To_LC-709.cube,1_SGamut3CineSLog3_To_LC-709.cube,,,Unknown,,1.2,,,022,4096x3024,,184J,,006,,0.02002315,,SD30-A2,13:01:42:03,01,Int 1,Int 2,Int 3,Int 4,Mix L,Mix R,BOOM1,BOOM2,,0,5600
,,13:04:01.00,SD30-A2: 184JT02,,13:03:16.00,1.0000,(1.3176 1.1391 1.0470) (-0.1340 -0.0783 -0.0105) (0.9974 0.9907 1.0997),F,T4 G-series,,,Sony,00010694,MPC-3610,,/Volumes/spf_das_areca/INTERCEPTOR/RUSHES/20210512_SD30/Camera_Media/F022/F022CNOW/Clip/F022C007_210512JV,S-Gamut3.Cine/S-Log3,,,,,,,,13:03:53:15,,,F022C007_210512JV.mxf,ND1.2,1,500,,1_SGamut3CineSLog3_To_LC-709.cube,1_SGamut3CineSLog3_To_LC-709.cube,,,Unknown,,1.2,,,022,4096x3024,,184J,,007,,0.02002315,,SD30-A2,13:03:21:07,02,Int 1,Int 2,Int 3,Int 4,Mix L,Mix R,BOOM1,BOOM2,,0,5600
,,13:05:34.00,SD30-A2: 184JT03,,13:04:20.00,1.0000,(1.3176 1.1391 1.0470) (-0.1340 -0.0783 -0.0105) (0.9974 0.9907 1.0997),F,T4 G-series,,,Sony,00010694,MPC-3610,,/Volumes/spf_das_areca/INTERCEPTOR/RUSHES/20210512_SD30/Camera_Media/F022/F022CNOW/Clip/F022C008_2105123L,S-Gamut3.Cine/S-Log3,,,,,,,,13:05:08:15,,,F022C008_2105123L.mxf,ND1.2,1,500,,1_SGamut3CineSLog3_To_LC-709.cube,1_SGamut3CineSLog3_To_LC-709.cube,,,Unknown,,1.2,,,022,4096x3024,,184J,,008,,0.02002315,,SD30-A2,13:04:31:19,03,Int 1,Int 2,Int 3,Int 4,Mix L,Mix R,BOOM1,BOOM2,,0,5600
,,13:06:35.00,SD30-A2: 184JT04,,13:05:50.00,1.0000,(1.3176 1.1391 1.0470) (-0.1340 -0.0783 -0.0105) (0.9974 0.9907 1.0997),F,,,,Sony,00010694,MPC-3610,,/Volumes/spf_das_areca/INTERCEPTOR/RUSHES/20210512_SD30/Camera_Media/F022/F022CNOW/Clip/F022C009_210512TZ,S-Gamut3.Cine/S-Log3,,,,,,,,13:06:30:07,,,F022C009_210512TZ.mxf,,0,500,,1_SGamut3CineSLog3_To_LC-709.cube,1_SGamut3CineSLog3_To_LC-709.cube,,,Unknown,,1.2,,,022,4096x3024,,184J,,009,,0.02002315,,SD30-A2,13:05:56:23,04,Int 1,Int 2,Int 3,Int 4,Mix L,Mix R,BOOM1,BOOM2,,0,5600
,,13:07:44.00,SD30-A2: 184JT05,,13:06:39.00,1.0000,(1.3176 1.1391 1.0470) (-0.1340 -0.0783 -0.0105) (0.9974 0.9907 1.0997),F,,,,Sony,00010694,MPC-3610,,/Volumes/spf_das_areca/INTERCEPTOR/RUSHES/20210512_SD30/Camera_Media/F022/F022CNOW/Clip/F022C010_2105127Y,S-Gamut3.Cine/S-Log3,,,,,,,,13:07:34:03,,,F022C010_2105127Y.mxf,,0,500,,1_SGamut3CineSLog3_To_LC-709.cube,1_SGamut3CineSLog3_To_LC-709.cube,,,Unknown,,1.2,,,022,4096x3024,,184J,,010,,0.02002315,,SD30-A2,13:06:45:19,05,Int 1,Int 2,Int 3,Int 4,Mix L,Mix R,BOOM1,BOOM2,,0,5600
